,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Squad,League
1390,Jeff Ekhator,it ITA,"FW,MF",17.0,8.5,1,10,3,30.0,1.17,0.35,0.1,0.33,15.6,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Matches,Genoa,Serie-A
1391,Ruslan Malinovskyi,ua UKR,"MF,FW",31.0,4.3,0,9,3,33.3,2.11,0.7,0.0,0.0,30.2,3,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Genoa,Serie-A
1392,Caleb Ekuban,gh GHA,FW,30.0,6.2,1,18,6,33.3,2.92,0.97,0.06,0.17,13.0,0,0,0,2.8,2.8,0.15,-1.8,-1.8,Matches,Genoa,Serie-A
1393,Honest Ahanor,it ITA,"DF,MF",16.0,3.0,0,3,1,33.3,1.0,0.33,0.0,0.0,10.5,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches,Genoa,Serie-A
1394,Sebastian Otoa,dk DEN,DF,20.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Genoa,Serie-A
1395,Jean Onana,cm CMR,MF,24.0,3.4,0,1,0,0.0,0.3,0.0,0.0,,40.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Genoa,Serie-A
1396,Maxwel Cornet,ci CIV,"FW,MF",27.0,2.7,2,5,3,60.0,1.83,1.1,0.4,0.67,12.3,0,0,0,1.0,1.0,0.2,1.0,1.0,Matches,Genoa,Serie-A
1397,Lior Kasa,il ISR,"MF,FW",18.0,2.6,0,5,2,40.0,1.96,0.78,0.0,0.0,16.7,0,0,0,1.1,1.1,0.23,-1.1,-1.1,Matches,Genoa,Serie-A
1398,Benjamin Siegrist,ch SUI,GK,32.0,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Genoa,Serie-A
1399,Lorenzo Venturino,it ITA,"FW,MF",18.0,1.9,2,4,3,75.0,2.16,1.62,0.5,0.67,15.5,0,0,0,0.7,0.7,0.18,1.3,1.3,Matches,Genoa,Serie-A
1400,Emil Bohinen,no NOR,MF,25.0,1.8,0,2,0,0.0,1.08,0.0,0.0,,28.6,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Genoa,Serie-A
1401,Filippo Melegoni,it ITA,"MF,FW",25.0,1.0,0,1,0,0.0,1.01,0.0,0.0,,21.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Genoa,Serie-A
1402,Alessandro Marcandalli,it ITA,DF,21.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Genoa,Serie-A
1403,Mario Balotelli,it ITA,"FW,MF",33.0,0.7,0,2,0,0.0,2.9,0.0,0.0,,30.5,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Genoa,Serie-A
1404,David Akpan Ankeye,ng NGA,"FW,MF",22.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Genoa,Serie-A
1405,Gastón Pereiro,uy URU,MF,29.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Genoa,Serie-A
1406,Daniele Sommariva,it ITA,GK,27.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Genoa,Serie-A
1407,Federico Accornero,it ITA,MF,20.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Genoa,Serie-A
1408,Lorenzo Montipò,it ITA,GK,28.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Hellas-Verona,Serie-A
1409,Jackson Tchatchoua,cm CMR,"DF,MF",22.0,35.2,2,18,3,16.7,0.51,0.09,0.11,0.67,20.2,0,0,0,1.6,1.6,0.09,0.4,0.4,Matches,Hellas-Verona,Serie-A
1410,Diego Coppola,it ITA,DF,20.0,32.5,2,10,4,40.0,0.31,0.12,0.2,0.5,9.1,0,0,0,0.7,0.7,0.07,1.3,1.3,Matches,Hellas-Verona,Serie-A
1411,Ondrej Duda,sk SVK,MF,29.0,26.6,1,25,5,20.0,0.94,0.19,0.04,0.2,27.1,5,0,0,1.0,1.0,0.04,0.0,0.0,Matches,Hellas-Verona,Serie-A
1412,Tomáš Suslov,sk SVK,"MF,FW",22.0,23.1,0,32,7,21.9,1.38,0.3,0.0,0.0,21.6,4,0,0,1.6,1.6,0.05,-1.6,-1.6,Matches,Hellas-Verona,Serie-A
1413,Amin Sarr,se SWE,FW,23.0,21.2,4,23,7,30.4,1.09,0.33,0.17,0.57,14.3,0,0,0,3.2,3.2,0.15,0.8,0.8,Matches,Hellas-Verona,Serie-A
1414,Domagoj Bradarić,hr CRO,DF,24.0,21.5,1,9,4,44.4,0.42,0.19,0.11,0.25,19.6,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches,Hellas-Verona,Serie-A
1415,Paweł Dawidowicz,pl POL,"DF,MF",29.0,20.5,0,4,0,0.0,0.2,0.0,0.0,,14.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,Hellas-Verona,Serie-A
1416,Daniele Ghilardi,it ITA,DF,21.0,22.5,0,12,4,33.3,0.53,0.18,0.0,0.0,13.4,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,Hellas-Verona,Serie-A
1417,Casper Tengstedt,dk DEN,FW,24.0,16.9,6,37,10,27.0,2.2,0.59,0.14,0.5,14.2,0,1,1,5.3,4.5,0.12,0.7,0.5,Matches,Hellas-Verona,Serie-A
1418,Reda Belahyane,ma MAR,MF,20.0,18.4,0,6,2,33.3,0.33,0.11,0.0,0.0,23.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,Hellas-Verona,Serie-A
1419,Darko Lazović,rs SRB,"DF,MF",33.0,16.2,2,19,3,15.8,1.17,0.19,0.05,0.33,18.2,0,1,1,2.5,1.7,0.09,-0.5,-0.7,Matches,Hellas-Verona,Serie-A
1420,Suat Serdar,de GER,MF,27.0,15.3,2,30,8,26.7,1.96,0.52,0.07,0.25,20.9,0,0,0,1.9,1.9,0.06,0.1,0.1,Matches,Hellas-Verona,Serie-A
1421,Nicolás Valentini,ar ARG,DF,23.0,12.5,0,8,0,0.0,0.64,0.0,0.0,,13.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Hellas-Verona,Serie-A
1422,Daniel Mosquera,co COL,FW,24.0,15.3,5,57,15,26.3,3.73,0.98,0.09,0.33,13.5,0,0,0,6.6,6.6,0.12,-1.6,-1.6,Matches,Hellas-Verona,Serie-A
1423,Giangiacomo Magnani,it ITA,DF,28.0,11.8,1,11,2,18.2,0.93,0.17,0.09,0.5,10.7,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches,Hellas-Verona,Serie-A
1424,Flavius Daniliuc,at AUT,DF,23.0,11.2,0,3,1,33.3,0.27,0.09,0.0,0.0,18.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Hellas-Verona,Serie-A
1425,Dailon Livramento,cv CPV,"FW,MF",23.0,10.4,1,13,4,30.8,1.24,0.38,0.08,0.25,12.0,0,0,0,1.8,1.8,0.14,-0.8,-0.8,Matches,Hellas-Verona,Serie-A
1426,Grigoris Kastanos,cy CYP,"MF,FW",26.0,9.7,1,22,5,22.7,2.27,0.52,0.05,0.2,23.0,2,0,0,1.0,1.0,0.05,0.0,0.0,Matches,Hellas-Verona,Serie-A
1427,Cheikh Tidiane Niasse,sn SEN,MF,24.0,8.4,0,3,1,33.3,0.36,0.12,0.0,0.0,21.8,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches,Hellas-Verona,Serie-A
1428,Antoine Bernede,fr FRA,MF,25.0,6.6,1,4,2,50.0,0.61,0.3,0.25,0.5,21.0,0,0,0,0.8,0.8,0.19,0.2,0.2,Matches,Hellas-Verona,Serie-A
1429,Martin Frese,dk DEN,DF,26.0,6.1,0,2,0,0.0,0.33,0.0,0.0,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Hellas-Verona,Serie-A
1430,Abdou Harroui,nl NED,"MF,FW",26.0,5.1,1,15,4,26.7,2.92,0.78,0.07,0.25,17.7,1,0,0,2.2,2.2,0.15,-1.2,-1.2,Matches,Hellas-Verona,Serie-A
1431,Daniel Bandeira,pt POR,MF,24.0,4.5,0,2,1,50.0,0.44,0.22,0.0,0.0,31.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Hellas-Verona,Serie-A
1432,Davide Faraoni,it ITA,DF,32.0,2.9,0,1,0,0.0,0.35,0.0,0.0,,3.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches,Hellas-Verona,Serie-A
1433,Simone Perilli,it ITA,GK,29.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Hellas-Verona,Serie-A
1434,Daniel Oyegoke,eng ENG,DF,21.0,1.1,0,1,0,0.0,0.87,0.0,0.0,,23.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Hellas-Verona,Serie-A
1435,Mathis Lambourde,fr FRA,"FW,MF",18.0,1.0,1,2,1,50.0,2.02,1.01,0.5,1.0,18.6,0,0,0,0.2,0.2,0.08,0.8,0.8,Matches,Hellas-Verona,Serie-A
1436,Faride Alidou,de GER,"FW,MF",23.0,0.8,0,1,0,0.0,1.27,0.0,0.0,,32.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Hellas-Verona,Serie-A
1437,Junior Ajayi,ci CIV,FW,19.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Hellas-Verona,Serie-A
1438,Alphadjo Cissè,it ITA,"FW,MF",17.0,0.1,0,2,2,100.0,20.0,20.0,0.0,0.0,26.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Hellas-Verona,Serie-A
1439,Yllan Okou,fr FRA,DF,21.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Hellas-Verona,Serie-A
1440,Yann Sommer,ch SUI,GK,35.0,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Internazionale,Serie-A
1441,Lautaro Martínez,ar ARG,FW,26.0,28.5,12,102,34,33.3,3.58,1.19,0.12,0.35,13.8,0,0,0,13.5,13.5,0.13,-1.5,-1.5,Matches,Internazionale,Serie-A
1442,Alessandro Bastoni,it ITA,DF,25.0,26.7,1,13,2,15.4,0.49,0.07,0.08,0.5,13.3,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches,Internazionale,Serie-A
1443,Henrikh Mkhitaryan,am ARM,MF,35.0,26.6,1,23,2,8.7,0.86,0.08,0.04,0.5,21.0,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches,Internazionale,Serie-A
1444,Nicolò Barella,it ITA,MF,27.0,27.7,3,43,9,20.9,1.55,0.32,0.07,0.33,24.8,1,0,0,2.2,2.2,0.05,0.8,0.8,Matches,Internazionale,Serie-A
1445,Federico Dimarco,it ITA,"DF,FW",26.0,24.2,4,56,21,37.5,2.32,0.87,0.07,0.19,20.1,8,0,0,3.3,3.3,0.06,0.7,0.7,Matches,Internazionale,Serie-A
1446,Marcus Thuram,fr FRA,FW,26.0,25.4,14,65,27,41.5,2.55,1.06,0.22,0.52,13.1,0,0,0,9.9,9.9,0.15,4.1,4.1,Matches,Internazionale,Serie-A
1447,Hakan Çalhanoğlu,tr TUR,MF,30.0,21.6,5,42,12,28.6,1.94,0.55,0.05,0.17,27.2,6,3,4,4.4,1.3,0.03,0.6,0.7,Matches,Internazionale,Serie-A
1448,Denzel Dumfries,nl NED,"DF,FW",28.0,21.7,7,36,19,52.8,1.66,0.87,0.19,0.37,10.5,0,0,0,5.4,5.4,0.15,1.6,1.6,Matches,Internazionale,Serie-A
1449,Matteo Darmian,it ITA,DF,34.0,19.8,3,11,3,27.3,0.56,0.15,0.27,1.0,14.4,0,0,0,1.9,1.9,0.18,1.1,1.1,Matches,Internazionale,Serie-A
1450,Francesco Acerbi,it ITA,DF,36.0,19.0,0,5,1,20.0,0.26,0.05,0.0,0.0,11.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,Internazionale,Serie-A
1451,Stefan de Vrij,nl NED,DF,32.0,19.2,3,13,3,23.1,0.68,0.16,0.23,1.0,10.6,0,0,0,1.1,1.1,0.08,1.9,1.9,Matches,Internazionale,Serie-A
1452,Benjamin Pavard,fr FRA,DF,28.0,17.6,0,8,1,12.5,0.45,0.06,0.0,0.0,12.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,Internazionale,Serie-A
1453,Yann Aurel Bisseck,de GER,DF,23.0,18.3,3,21,5,23.8,1.15,0.27,0.14,0.6,11.2,0,0,0,2.6,2.6,0.12,0.4,0.4,Matches,Internazionale,Serie-A
1454,Carlos Augusto,br BRA,DF,25.0,18.8,3,24,6,25.0,1.28,0.32,0.13,0.5,11.1,0,0,0,2.8,2.8,0.12,0.2,0.2,Matches,Internazionale,Serie-A
1455,Kristjan Asllani,al ALB,MF,22.0,11.0,2,14,3,21.4,1.28,0.27,0.0,0.0,25.0,2,2,2,2.5,0.9,0.06,-0.5,-0.9,Matches,Internazionale,Serie-A
1456,Davide Frattesi,it ITA,MF,24.0,13.6,5,28,7,25.0,2.06,0.51,0.18,0.71,13.0,0,0,0,4.0,4.0,0.14,1.0,1.0,Matches,Internazionale,Serie-A
1457,Piotr Zieliński,pl POL,MF,30.0,10.9,2,15,4,26.7,1.38,0.37,0.0,0.0,21.7,0,2,2,2.6,1.1,0.07,-0.6,-1.1,Matches,Internazionale,Serie-A
1458,Mehdi Taremi,ir IRN,FW,32.0,9.1,1,13,5,38.5,1.43,0.55,0.0,0.0,12.0,0,1,1,3.5,2.7,0.21,-2.5,-2.7,Matches,Internazionale,Serie-A
1459,Joaquín Correa,ar ARG,"FW,MF",29.0,8.1,2,14,6,42.9,1.72,0.74,0.14,0.33,13.3,0,0,0,2.1,2.1,0.15,-0.1,-0.1,Matches,Internazionale,Serie-A
1460,Marko Arnautović,at AUT,FW,35.0,6.1,4,14,6,42.9,2.3,0.98,0.29,0.67,8.7,0,0,0,3.3,3.3,0.23,0.7,0.7,Matches,Internazionale,Serie-A
1461,Josep Martinez,es ESP,GK,26.0,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Internazionale,Serie-A
1462,Nicola Zalewski,pl POL,"DF,MF",22.0,4.8,1,5,3,60.0,1.03,0.62,0.2,0.33,22.1,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches,Internazionale,Serie-A
1463,Tajon Buchanan,ca CAN,"DF,FW",25.0,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Internazionale,Serie-A
1464,Tomás Palacios,ar ARG,DF,21.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Internazionale,Serie-A
1465,Luka Topalović,si SVN,MF,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Internazionale,Serie-A
1466,Manuel Locatelli,it ITA,MF,26.0,31.4,2,24,7,29.2,0.77,0.22,0.04,0.14,22.7,0,1,1,1.8,1.0,0.04,0.2,0.0,Matches,Juventus,Serie-A
1467,Michele Di Gregorio,it ITA,GK,27.0,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Juventus,Serie-A
1468,Kenan Yıldız,tr TUR,"FW,MF",19.0,26.7,7,61,22,36.1,2.29,0.82,0.11,0.32,17.5,0,0,0,4.3,4.3,0.07,2.7,2.7,Matches,Juventus,Serie-A
1469,Weston McKennie,us USA,"MF,DF",25.0,25.7,2,22,8,36.4,0.86,0.31,0.09,0.25,12.6,0,0,0,2.9,2.9,0.13,-0.9,-0.9,Matches,Juventus,Serie-A
1470,Khéphren Thuram,fr FRA,MF,23.0,25.8,4,36,10,27.8,1.39,0.39,0.11,0.4,20.1,0,0,0,3.5,3.5,0.1,0.5,0.5,Matches,Juventus,Serie-A
1471,Federico Gatti,it ITA,DF,26.0,24.4,1,25,9,36.0,1.03,0.37,0.04,0.11,14.4,0,0,0,2.5,2.5,0.1,-1.5,-1.5,Matches,Juventus,Serie-A
1472,Pierre Kalulu,fr FRA,DF,24.0,26.0,1,7,3,42.9,0.27,0.12,0.14,0.33,10.9,0,0,0,0.7,0.7,0.1,0.3,0.3,Matches,Juventus,Serie-A
1473,Andrea Cambiaso,it ITA,"DF,FW",24.0,24.7,2,17,6,35.3,0.69,0.24,0.12,0.33,22.1,0,0,0,0.7,0.7,0.04,1.3,1.3,Matches,Juventus,Serie-A
1474,Teun Koopmeiners,nl NED,"MF,FW",26.0,22.2,3,42,10,23.8,1.9,0.45,0.07,0.3,18.2,2,0,0,3.8,3.8,0.09,-0.8,-0.8,Matches,Juventus,Serie-A
1475,Nicolás González,ar ARG,"FW,MF",26.0,19.4,3,45,21,46.7,2.31,1.08,0.07,0.14,15.7,0,0,0,4.1,4.1,0.09,-1.1,-1.1,Matches,Juventus,Serie-A
1476,Dušan Vlahović,rs SRB,FW,24.0,19.8,10,73,25,34.2,3.68,1.26,0.08,0.24,15.9,7,4,4,12.3,9.2,0.13,-2.3,-3.2,Matches,Juventus,Serie-A
1477,Nicolò Savona,it ITA,DF,21.0,19.2,2,6,4,66.7,0.31,0.21,0.33,0.5,14.8,0,0,0,0.5,0.5,0.08,1.5,1.5,Matches,Juventus,Serie-A
1478,Timothy Weah,us USA,"DF,FW",24.0,18.2,5,21,9,42.9,1.15,0.49,0.24,0.56,20.3,0,0,0,3.4,3.4,0.16,1.6,1.6,Matches,Juventus,Serie-A
1479,Randal Kolo Muani,fr FRA,FW,25.0,12.9,8,25,13,52.0,1.94,1.01,0.28,0.54,13.2,0,1,1,4.7,3.9,0.16,3.3,3.1,Matches,Juventus,Serie-A
1480,Francisco Conceição,pt POR,"FW,MF",21.0,14.9,3,40,13,32.5,2.69,0.87,0.08,0.23,18.1,1,0,0,2.3,2.3,0.06,0.7,0.7,Matches,Juventus,Serie-A
1481,Renato Veiga,pt POR,DF,21.0,12.1,0,12,5,41.7,0.99,0.41,0.0,0.0,14.6,1,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches,Juventus,Serie-A
1482,Lloyd Kelly,eng ENG,DF,25.0,11.3,0,7,1,14.3,0.62,0.09,0.0,0.0,17.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,Juventus,Serie-A
1483,Samuel Mbangula,be BEL,FW,20.0,7.9,3,9,5,55.6,1.14,0.63,0.33,0.6,18.7,0,0,0,0.6,0.6,0.07,2.4,2.4,Matches,Juventus,Serie-A
1484,Danilo,br BRA,DF,33.0,6.5,0,1,0,0.0,0.15,0.0,0.0,,8.2,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches,Juventus,Serie-A
1485,Gleison Bremer,br BRA,DF,27.0,6.0,0,3,0,0.0,0.5,0.0,0.0,,18.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Juventus,Serie-A
1486,Juan David Cabal,co COL,DF,23.0,5.1,0,5,0,0.0,0.98,0.0,0.0,,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Juventus,Serie-A
1487,Nicolò Fagioli,it ITA,MF,23.0,6.3,0,12,1,8.3,1.89,0.16,0.0,0.0,22.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,Juventus,Serie-A
1488,Mattia Perin,it ITA,GK,31.0,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Juventus,Serie-A
1489,Douglas Luiz,br BRA,MF,26.0,5.9,0,8,2,25.0,1.36,0.34,0.0,0.0,19.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,Juventus,Serie-A
1490,Alberto costa,pt POR,DF,20.0,4.0,0,7,0,0.0,1.76,0.0,0.0,,15.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,Juventus,Serie-A
1491,Jonas Rouhi,se SWE,DF,20.0,2.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Juventus,Serie-A
1492,Vasilije Adžić,me MNE,"MF,FW",18.0,0.5,0,1,1,100.0,2.14,2.14,0.0,0.0,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Juventus,Serie-A
1493,Diego Pugno,it ITA,FW,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Juventus,Serie-A
1494,Lorenzo Anghelè,it ITA,FW,19.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Juventus,Serie-A
1495,Mattéo Guendouzi,fr FRA,MF,25.0,36.3,1,27,8,29.6,0.74,0.22,0.04,0.13,20.5,0,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches,Lazio,Serie-A
1496,Mattia Zaccagni,it ITA,FW,29.0,29.8,8,46,14,30.4,1.54,0.47,0.13,0.43,17.3,2,2,2,6.4,4.9,0.11,1.6,1.1,Matches,Lazio,Serie-A
1497,Mario Gila,es ESP,DF,23.0,30.5,1,15,4,26.7,0.49,0.13,0.07,0.25,16.7,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,Lazio,Serie-A
1498,Nicolò Rovella,it ITA,MF,22.0,30.2,0,28,8,28.6,0.93,0.26,0.0,0.0,23.4,2,0,0,1.5,1.5,0.06,-1.5,-1.5,Matches,Lazio,Serie-A
1499,Alessio Romagnoli,it ITA,DF,29.0,29.7,2,20,7,35.0,0.67,0.24,0.1,0.29,9.8,0,0,0,2.4,2.4,0.12,-0.4,-0.4,Matches,Lazio,Serie-A
1500,Ivan Provedel,it ITA,GK,30.0,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Lazio,Serie-A
1501,Gustav Isaksen,dk DEN,FW,23.0,24.6,4,54,24,44.4,2.2,0.98,0.07,0.17,18.9,0,0,0,5.2,5.2,0.1,-1.2,-1.2,Matches,Lazio,Serie-A
1502,Valentín Castellanos,ar ARG,FW,25.0,26.5,10,105,36,34.3,3.96,1.36,0.08,0.22,16.8,3,2,3,13.4,11.3,0.11,-3.4,-3.3,Matches,Lazio,Serie-A
1503,Boulaye Dia,sn SEN,"MF,FW",27.0,24.2,9,39,19,48.7,1.61,0.79,0.23,0.47,13.3,0,0,0,7.1,7.1,0.18,1.9,1.9,Matches,Lazio,Serie-A
1504,Adam Marušić,me MNE,DF,31.0,26.0,4,23,10,43.5,0.89,0.39,0.17,0.4,15.4,0,0,0,2.0,2.0,0.09,2.0,2.0,Matches,Lazio,Serie-A
1505,Nuno Tavares,pt POR,DF,24.0,18.7,0,28,5,17.9,1.49,0.27,0.0,0.0,24.6,5,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches,Lazio,Serie-A
1506,Manuel Lazzari,it ITA,DF,30.0,15.6,0,6,2,33.3,0.38,0.13,0.0,0.0,28.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,Lazio,Serie-A
1507,Fisayo Dele-Bashiru,ng NGA,"MF,FW",23.0,10.5,3,16,5,31.3,1.52,0.48,0.19,0.6,20.9,0,0,0,1.1,1.1,0.07,1.9,1.9,Matches,Lazio,Serie-A
1508,Luca Pellegrini,it ITA,DF,25.0,11.9,0,13,4,30.8,1.1,0.34,0.0,0.0,24.4,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,Lazio,Serie-A
1509,Christos Mandas,gr GRE,GK,22.0,9.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Lazio,Serie-A
1510,Tijjani Noslin,nl NED,"FW,MF",25.0,9.6,2,19,6,31.6,1.99,0.63,0.11,0.33,12.6,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches,Lazio,Serie-A
1511,Matías Vecino,uy URU,MF,32.0,9.7,2,16,4,25.0,1.64,0.41,0.13,0.5,11.9,0,0,0,2.3,2.3,0.14,-0.3,-0.3,Matches,Lazio,Serie-A
1512,Samuel Gigot,fr FRA,DF,30.0,7.6,2,4,3,75.0,0.53,0.4,0.5,0.67,8.5,0,0,0,1.3,1.3,0.33,0.7,0.7,Matches,Lazio,Serie-A
1513,Pedro,es ESP,"FW,MF",37.0,12.2,10,37,16,43.2,3.02,1.31,0.22,0.5,19.1,0,2,2,5.3,3.8,0.1,4.7,4.2,Matches,Lazio,Serie-A
1514,Loum Tchaouna,fr FRA,"FW,MF",20.0,7.3,1,23,8,34.8,3.14,1.09,0.04,0.13,17.8,0,0,0,2.5,2.5,0.11,-1.5,-1.5,Matches,Lazio,Serie-A
1515,Patric,es ESP,DF,31.0,6.7,1,2,1,50.0,0.3,0.15,0.5,1.0,5.1,0,0,0,1.1,1.1,0.53,-0.1,-0.1,Matches,Lazio,Serie-A
1516,Elseid Hysaj,al ALB,DF,30.0,4.7,0,2,0,0.0,0.42,0.0,0.0,,17.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,Lazio,Serie-A
1517,Nicolò Casale,it ITA,DF,26.0,1.5,0,1,1,100.0,0.67,0.67,0.0,0.0,11.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Lazio,Serie-A
1518,Reda Belahyane,ma MAR,MF,20.0,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Lazio,Serie-A
1519,Gaetano Castrovilli,it ITA,"MF,FW",27.0,1.6,0,2,0,0.0,1.22,0.0,0.0,,19.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Lazio,Serie-A
1520,Oliver Nielsen,dk DEN,DF,21.0,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Lazio,Serie-A
1521,Arijon Ibrahimović,de GER,MF,18.0,0.1,0,2,0,0.0,22.5,0.0,0.0,,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Lazio,Serie-A
1522,Federico Baschirotto,it ITA,DF,27.0,38.0,2,22,8,36.4,0.58,0.21,0.09,0.25,11.8,0,0,0,1.2,1.2,0.06,0.8,0.8,Matches,Lecce,Serie-A
1523,Wladimiro Falcone,it ITA,GK,29.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Lecce,Serie-A
1524,Nikola Krstović,me MNE,FW,24.0,34.0,11,134,38,28.4,3.95,1.12,0.07,0.24,18.8,6,2,3,12.1,9.7,0.07,-1.1,-0.7,Matches,Lecce,Serie-A
1525,Antonino Gallo,it ITA,DF,24.0,29.0,0,9,3,33.3,0.31,0.1,0.0,0.0,23.9,2,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,Lecce,Serie-A
1526,Frederic Guilbert,fr FRA,DF,29.0,27.1,0,11,0,0.0,0.41,0.0,0.0,,25.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,Lecce,Serie-A
1527,Lassana Coulibaly,ml MLI,MF,28.0,29.6,1,9,3,33.3,0.3,0.1,0.11,0.33,18.7,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches,Lecce,Serie-A
1528,Kialonda,ao ANG,DF,26.0,23.8,0,16,0,0.0,0.67,0.0,0.0,,10.7,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches,Lecce,Serie-A
