,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Squad,League
166,Renato Veiga,pt POR,"DF,MF",21.0,2.0,0,3,1,33.3,1.49,0.5,0.0,0.0,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Chelsea,Premier-League
167,Mykhailo Mudryk,ua UKR,FW,23.0,1.7,0,1,1,100.0,0.6,0.6,0.0,0.0,11.6,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches,Chelsea,Premier-League
168,Marc Guiu,es ESP,FW,18.0,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Chelsea,Premier-League
169,Mathis Amougou,fr FRA,MF,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Chelsea,Premier-League
170,Shumaira Mheuka,eng ENG,MF,16.0,0.0,0,1,1,100.0,90.0,90.0,0.0,0.0,7.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Chelsea,Premier-League
171,Dean Henderson,eng ENG,GK,27.0,38.0,0,1,0,0.0,0.03,0.0,0.0,,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Crystal-Palace,Premier-League
172,Daniel Muñoz,co COL,DF,28.0,35.9,4,37,14,37.8,1.03,0.39,0.11,0.29,12.7,0,0,0,4.9,4.9,0.13,-0.9,-0.9,Matches,Crystal-Palace,Premier-League
173,Tyrick Mitchell,eng ENG,DF,24.0,34.4,0,12,3,25.0,0.35,0.09,0.0,0.0,12.8,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches,Crystal-Palace,Premier-League
174,Maxence Lacroix,fr FRA,DF,24.0,34.6,1,30,5,16.7,0.87,0.14,0.03,0.2,10.8,0,0,0,3.4,3.4,0.11,-2.4,-2.4,Matches,Crystal-Palace,Premier-League
175,Marc Guéhi,eng ENG,DF,24.0,34.0,3,15,7,46.7,0.44,0.21,0.2,0.43,10.7,0,0,0,2.0,2.0,0.13,1.0,1.0,Matches,Crystal-Palace,Premier-League
176,Jean-Philippe Mateta,fr FRA,FW,27.0,29.4,14,68,29,42.6,2.31,0.99,0.18,0.41,15.6,0,2,2,13.5,11.9,0.18,0.5,0.1,Matches,Crystal-Palace,Premier-League
177,Eberechi Eze,eng ENG,"MF,FW",26.0,28.8,8,100,27,27.0,3.48,0.94,0.07,0.26,21.5,16,1,2,10.5,8.9,0.09,-2.5,-1.9,Matches,Crystal-Palace,Premier-League
178,Ismaila Sarr,sn SEN,MF,26.0,30.1,8,59,29,49.2,1.96,0.96,0.14,0.28,13.2,0,0,0,10.7,10.7,0.19,-2.7,-2.7,Matches,Crystal-Palace,Premier-League
179,Jefferson Lerma,co COL,"MF,DF",29.0,25.3,0,26,8,30.8,1.03,0.32,0.0,0.0,19.8,0,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches,Crystal-Palace,Premier-League
180,Will Hughes,eng ENG,MF,29.0,23.4,0,22,1,4.5,0.94,0.04,0.0,0.0,22.3,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches,Crystal-Palace,Premier-League
181,Chris Richards,us USA,DF,24.0,21.4,1,12,6,50.0,0.56,0.28,0.08,0.17,10.8,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches,Crystal-Palace,Premier-League
182,Adam Wharton,eng ENG,MF,20.0,14.6,0,13,5,38.5,0.89,0.34,0.0,0.0,25.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,Crystal-Palace,Premier-League
183,Daichi Kamada,jp JPN,MF,27.0,17.4,0,20,4,20.0,1.15,0.23,0.0,0.0,20.3,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches,Crystal-Palace,Premier-League
184,Trevoh Chalobah,eng ENG,DF,25.0,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,1.8,1.8,Matches,Crystal-Palace,Premier-League
185,Eddie Nketiah,eng ENG,"FW,MF",25.0,11.5,3,43,16,37.2,3.74,1.39,0.07,0.19,13.8,0,0,0,5.8,5.8,0.13,-2.8,-2.8,Matches,Crystal-Palace,Premier-League
186,Nathaniel Clyne,eng ENG,"DF,MF",33.0,5.4,0,2,0,0.0,0.37,0.0,0.0,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Crystal-Palace,Premier-League
187,Justin Devenny,nir NIR,MF,20.0,5.6,1,10,6,60.0,1.78,1.07,0.1,0.17,21.1,1,0,0,0.8,0.8,0.08,0.2,0.2,Matches,Crystal-Palace,Premier-League
188,Cheick Doucouré,ml MLI,MF,24.0,5.0,0,7,0,0.0,1.39,0.0,0.0,,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,Crystal-Palace,Premier-League
189,Ben Chilwell,eng ENG,DF,27.0,2.9,1,5,3,60.0,1.74,1.04,0.2,0.33,25.4,2,0,0,0.2,0.2,0.05,0.8,0.8,Matches,Crystal-Palace,Premier-League
