,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Squad,League
102,Edmond-Paris Maghoma,eng ENG,"MF,FW",23.0,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25.0,Matches,Brentford,Premier-League
103,Rico Henry,eng ENG,DF,27.0,1.1,0,0,0,2,2,0,2,1,2,0,0,0,7,2,1,66.7,Matches,Brentford,Premier-League
104,Yunus Emre Konak,tr TUR,"FW,MF",18.0,0.5,0,0,0,3,1,0,0,0,4,0,0,0,2,5,9,35.7,Matches,Brentford,Premier-League
105,Kim Jisoo,kr KOR,DF,19.0,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,Brentford,Premier-League
106,Frank Onyeka,ng NGA,MF,26.0,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,,Matches,Brentford,Premier-League
107,Gustavo Nunes,br BRA,"FW,MF",18.0,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,Matches,Brentford,Premier-League
108,Jayden Meghoma,eng ENG,DF,18.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,Brentford,Premier-League
109,Ryan Trevitt,eng ENG,MF,21.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches,Brentford,Premier-League
110,Bart Verbruggen,nl NED,GK,21.0,36.0,5,0,0,0,2,0,0,0,0,0,0,0,59,10,1,90.9,Matches,Brighton-and-Hove-Albion,Premier-League
111,Jan Paul van Hecke,nl NED,DF,24.0,32.9,8,1,1,25,24,0,11,24,29,0,0,0,131,82,50,62.1,Matches,Brighton-and-Hove-Albion,Premier-League
112,Carlos Baleba,cm CMR,MF,20.0,29.6,8,1,1,40,48,0,9,46,46,0,2,0,197,39,26,60.0,Matches,Brighton-and-Hove-Albion,Premier-League
113,Kaoru Mitoma,jp JPN,"FW,MF",27.0,28.9,1,0,0,40,24,5,75,14,27,0,0,0,99,26,27,49.1,Matches,Brighton-and-Hove-Albion,Premier-League
114,Pervis Estupiñán,ec ECU,DF,26.0,26.7,5,0,0,36,20,3,119,37,43,0,0,0,147,46,26,63.9,Matches,Brighton-and-Hove-Albion,Premier-League
115,Danny Welbeck,eng ENG,FW,33.0,23.5,5,0,0,11,23,4,3,5,16,0,0,0,46,17,32,34.7,Matches,Brighton-and-Hove-Albion,Premier-League
