,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
11,Filip Jørgensen,dk DEN,GK,23-025,6,6,540,6.0,9,1.5,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0,Matches,Chelsea,Premier-League
12,Dean Henderson,eng ENG,GK,28-061,35,35,3150,35.0,48,1.37,143,97,67.1,11,13,11,10,28.6,2,1,1,0,50.0,Matches,Crystal-Palace,Premier-League
13,Jordan Pickford,eng ENG,GK,31-066,36,36,3240,36.0,44,1.22,155,109,71.6,9,15,12,10,27.8,2,0,2,0,100.0,Matches,Everton,Premier-League
14,Bernd Leno,de GER,GK,33-068,36,36,3240,36.0,50,1.39,149,101,67.8,14,9,13,5,13.9,2,2,0,0,0.0,Matches,Fulham,Premier-League
15,Arijanet Muric,xk KVX,GK,26-186,18,18,1620,18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,0.0,Matches,Ipswich-Town,Premier-League
16,Alex Palmer,eng ENG,GK,28-275,12,12,1080,12.0,28,2.33,68,42,60.3,1,3,8,0,0.0,1,1,0,0,0.0,Matches,Ipswich-Town,Premier-League
17,Christian Walton,eng ENG,GK,29-184,6,6,540,6.0,16,2.67,33,17,57.6,1,1,4,1,16.7,2,2,0,0,0.0,Matches,Ipswich-Town,Premier-League
18,Mads Hermansen,dk DEN,GK,24-305,27,27,2385,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0,Matches,Leicester-City,Premier-League
19,Jakub Stolarczyk,pl POL,GK,24-144,7,7,630,7.0,12,1.71,31,19,61.3,2,0,5,1,14.3,0,0,0,0,,Matches,Leicester-City,Premier-League
20,Danny Ward,wls WAL,GK,31-324,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,Matches,Leicester-City,Premier-League
21,Alisson,br BRA,GK,32-221,25,25,2238,24.9,23,0.92,77,56,71.4,18,5,2,9,36.0,1,1,0,0,0.0,Matches,Liverpool,Premier-League
22,Caoimhín Kelleher,ie IRL,GK,26-169,10,10,900,10.0,12,1.2,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0,Matches,Liverpool,Premier-League
23,Vitezslav Jaros,cz CZE,GK,23-292,1,0,12,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches,Liverpool,Premier-League
24,Ederson,br BRA,GK,31-267,24,24,2140,23.8,25,1.05,73,49,68.5,14,4,6,9,37.5,2,2,0,0,0.0,Matches,Manchester-City,Premier-League
25,Stefan Ortega,de GER,GK,32-186,13,12,1100,12.2,18,1.47,50,33,68.0,5,4,3,3,25.0,2,2,0,0,0.0,Matches,Manchester-City,Premier-League
26,André Onana,cm CMR,GK,29-039,33,33,2970,33.0,43,1.3,129,86,69.0,10,9,14,9,27.3,4,3,1,0,25.0,Matches,Manchester-United,Premier-League
27,Altay Bayındır,tr TUR,GK,27-027,2,2,180,2.0,8,4.0,12,5,33.3,0,0,2,0,0.0,0,0,0,0,,Matches,Manchester-United,Premier-League
28,Nick Pope,eng ENG,GK,33-022,25,25,2250,25.0,33,1.32,107,75,70.1,12,6,7,7,28.0,2,1,1,0,50.0,Matches,Newcastle-United,Premier-League
29,Martin Dúbravka,sk SVK,GK,36-116,10,10,900,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,,Matches,Newcastle-United,Premier-League
30,Matz Sels,be BEL,GK,33-075,35,35,3150,35.0,42,1.2,152,110,74.3,18,7,10,13,37.1,3,3,0,0,0.0,Matches,Nottingham-Forest,Premier-League
31,Aaron Ramsdale,eng ENG,GK,26-363,28,28,2520,28.0,62,2.21,177,113,67.8,2,5,21,3,10.7,7,5,2,0,28.6,Matches,Southampton,Premier-League
32,Alex McCarthy,eng ENG,GK,35-160,5,5,450,5.0,13,2.6,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0,Matches,Southampton,Premier-League
33,Joe Lumley,eng ENG,GK,30-086,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,,Matches,Southampton,Premier-League
34,Guglielmo Vicario,it ITA,GK,28-217,23,23,2070,23.0,33,1.43,94,63,64.9,9,3,11,4,17.4,0,0,0,0,,Matches,Tottenham-Hotspur,Premier-League
35,Fraser Forster,eng ENG,GK,37-056,7,7,630,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,0.0,Matches,Tottenham-Hotspur,Premier-League
36,Antonín Kinský,cz CZE,GK,22-060,4,4,360,4.0,7,1.75,16,11,56.3,1,0,3,1,25.0,0,0,0,0,,Matches,Tottenham-Hotspur,Premier-League
37,Brandon Austin,eng ENG,GK,26-124,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,Tottenham-Hotspur,Premier-League
38,Alphonse Areola,fr FRA,GK,32-073,24,23,2080,23.1,39,1.69,105,69,62.9,4,7,12,4,17.4,0,0,0,0,,Matches,West-Ham-United,Premier-League
39,Łukasz Fabiański,pl POL,GK,40-023,13,12,1070,11.9,20,1.68,67,47,74.6,5,3,4,2,16.7,3,3,0,0,0.0,Matches,West-Ham-United,Premier-League
40,José Sá,pt POR,GK,32-114,28,28,2520,28.0,47,1.68,110,63,61.8,11,4,13,7,25.0,7,5,2,0,28.6,Matches,Wolverhampton-Wanderers,Premier-League
41,Sam Johnstone,eng ENG,GK,32-047,7,7,630,7.0,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
42,Daniel Bentley,eng ENG,GK,31-302,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,Wolverhampton-Wanderers,Premier-League
43,Antonio Sivera,es ESP,GK,28-273,28,28,2450,27.2,37,1.36,100,64,72.0,7,9,12,6,21.4,9,9,0,0,0.0,Matches,Alaves,La-Liga
44,Jesús Owono,gq EQG,GK,24-071,6,5,487,5.4,7,1.29,14,7,57.1,1,1,3,0,0.0,1,1,0,0,0.0,Matches,Alaves,La-Liga
45,Adrian Rodriguez,es ESP,GK,24-150,2,1,122,1.4,2,1.48,6,4,83.3,0,1,0,1,100.0,1,1,0,0,0.0,Matches,Alaves,La-Liga
46,Unai Simón,es ESP,GK,27-335,17,17,1530,17.0,11,0.65,54,42,79.6,7,8,2,7,41.2,1,0,1,0,100.0,Matches,Athletic-Club,La-Liga
