,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Squad,League
1440,Joaquín Correa,ar ARG,"FW,MF",30-272,6.7,363,5,31,172,164,33,363,5,1,20.0,4,80.0,245,1134,498,16,11,2,10,4,294,39,Matches,Internazionale,Serie-A
1441,Marko Arnautović,at AUT,FW,36-023,5.9,193,1,6,63,124,38,193,3,2,66.7,1,33.3,98,364,119,4,3,2,12,3,150,61,Matches,Internazionale,Serie-A
1442,Josep Martinez,es ESP,GK,26-350,5.0,245,218,245,0,0,0,245,0,0,,0,,173,609,343,0,0,0,0,0,179,0,Matches,Internazionale,Serie-A
1443,Nicola Zalewski,pl POL,"DF,MF",23-109,3.9,233,6,40,92,104,12,233,16,8,50.0,3,18.8,170,1338,607,24,12,6,10,7,178,42,Matches,Internazionale,Serie-A
1444,Tajon Buchanan,ca CAN,"DF,FW",26-093,1.1,64,3,18,29,19,2,64,9,3,33.3,4,44.4,42,403,259,6,3,0,2,2,44,8,Matches,Internazionale,Serie-A
1445,Tomás Palacios,ar ARG,DF,22-014,0.1,15,0,2,12,1,0,15,0,0,,0,,14,51,32,0,0,0,0,0,14,0,Matches,Internazionale,Serie-A
1446,Manuel Locatelli,it ITA,MF,27-124,29.4,2571,150,656,1569,366,13,2571,22,8,36.4,13,59.1,1452,6576,3444,31,39,1,21,8,1899,31,Matches,Juventus,Serie-A
1447,Michele Di Gregorio,it ITA,GK,27-289,31.0,988,816,979,10,0,0,988,0,0,,0,,625,3406,2123,0,0,0,0,0,556,0,Matches,Juventus,Serie-A
1448,Kenan Yıldız,tr TUR,"FW,MF",20-008,24.7,1348,16,140,558,668,90,1348,99,55,55.6,41,41.4,877,5541,2972,102,49,37,81,38,1017,205,Matches,Juventus,Serie-A
1449,Weston McKennie,us USA,"MF,DF",26-257,24.6,1300,49,248,574,488,54,1300,33,20,60.6,10,30.3,697,2910,1325,28,29,7,40,25,877,151,Matches,Juventus,Serie-A
1450,Federico Gatti,it ITA,DF,26-322,24.3,1685,168,786,851,63,27,1685,13,7,53.8,5,38.5,1165,7650,4081,24,14,1,12,8,1290,6,Matches,Juventus,Serie-A
1451,Pierre Kalulu,fr FRA,DF,24-341,26.0,2275,182,924,1197,165,17,2275,11,4,36.4,5,45.5,1559,9462,5089,48,36,2,19,7,1752,24,Matches,Juventus,Serie-A
1452,Khéphren Thuram,fr FRA,MF,24-047,24.8,1592,69,334,939,337,40,1592,68,38,55.9,27,39.7,1026,6331,3408,71,56,11,25,20,1213,51,Matches,Juventus,Serie-A
1453,Andrea Cambiaso,it ITA,"DF,FW",25-081,23.1,1782,48,432,894,474,37,1782,46,25,54.3,17,37.0,1127,6970,3671,74,61,11,43,19,1282,114,Matches,Juventus,Serie-A
1454,Teun Koopmeiners,nl NED,"MF,FW",27-073,22.2,1170,38,180,529,468,50,1170,22,10,45.5,11,50.0,591,2741,1266,32,28,5,40,16,790,127,Matches,Juventus,Serie-A
1455,Dušan Vlahović,rs SRB,FW,25-104,19.5,552,14,27,235,295,120,548,28,9,32.1,18,64.3,299,1357,471,25,9,16,49,28,420,115,Matches,Juventus,Serie-A
1456,Nicolás González,ar ARG,"FW,MF",27-036,17.6,791,32,129,331,345,58,791,51,17,33.3,28,54.9,420,2624,1232,35,39,10,36,15,561,118,Matches,Juventus,Serie-A
1457,Nicolò Savona,it ITA,DF,22-054,18.2,1176,51,410,577,196,15,1176,11,6,54.5,5,45.5,743,3825,1611,33,26,0,9,4,836,43,Matches,Juventus,Serie-A
1458,Timothy Weah,us USA,"DF,FW",25-079,17.9,961,30,211,388,367,35,961,34,13,38.2,16,47.1,557,3172,1476,45,20,18,24,15,640,117,Matches,Juventus,Serie-A
1459,Randal Kolo Muani,fr FRA,FW,26-158,11.3,323,3,27,129,170,60,322,41,17,41.5,22,53.7,188,1012,406,18,9,12,37,18,235,88,Matches,Juventus,Serie-A
1460,Renato Veiga,pt POR,DF,21-287,10.6,639,117,343,268,31,8,639,1,1,100.0,0,0.0,346,2092,1066,9,5,0,2,0,368,0,Matches,Juventus,Serie-A
1461,Francisco Conceição,pt POR,"FW,MF",22-149,13.0,640,10,74,213,367,75,640,70,32,45.7,33,47.1,474,3709,1941,81,26,50,29,20,506,128,Matches,Juventus,Serie-A
1462,Lloyd Kelly,eng ENG,DF,26-218,9.3,676,74,265,338,75,17,676,1,0,0.0,1,100.0,372,1881,1026,8,7,0,5,3,445,21,Matches,Juventus,Serie-A
1463,Samuel Mbangula,be BEL,FW,21-116,7.9,348,6,46,147,158,20,348,27,9,33.3,13,48.1,229,1362,711,25,11,7,13,10,269,44,Matches,Juventus,Serie-A
1464,Danilo,br BRA,DF,33-301,6.5,625,43,209,350,70,4,625,0,0,,0,,381,2018,1136,16,9,2,4,2,476,7,Matches,Juventus,Serie-A
1465,Gleison Bremer,br BRA,DF,28-055,6.0,569,63,286,268,15,3,569,4,3,75.0,1,25.0,352,1760,985,2,1,0,4,2,445,0,Matches,Juventus,Serie-A
1466,Juan David Cabal,co COL,DF,24-124,5.1,401,13,135,220,52,3,401,7,4,57.1,0,0.0,242,1342,774,14,11,0,6,4,285,19,Matches,Juventus,Serie-A
1467,Nicolò Fagioli,it ITA,MF,24-089,6.3,470,11,77,283,112,10,470,3,2,66.7,1,33.3,311,2051,1035,19,22,2,11,2,387,18,Matches,Juventus,Serie-A
1468,Mattia Perin,it ITA,GK,32-183,5.0,185,161,185,0,0,0,185,0,0,,0,,123,703,460,0,0,0,0,0,110,0,Matches,Juventus,Serie-A
1469,Douglas Luiz,br BRA,MF,27-003,5.8,475,13,89,256,134,8,475,14,11,78.6,3,21.4,270,1648,909,16,10,0,8,7,342,12,Matches,Juventus,Serie-A
1470,Alberto costa,pt POR,DF,21-225,2.5,184,7,39,80,67,12,184,8,3,37.5,5,62.5,94,503,300,7,4,2,4,0,114,21,Matches,Juventus,Serie-A
1471,Jonas Rouhi,se SWE,DF,21-125,2.3,192,4,63,97,33,2,192,5,2,40.0,3,60.0,84,414,158,1,2,0,5,5,118,7,Matches,Juventus,Serie-A
1472,Vasilije Adžić,me MNE,"MF,FW",19-000,0.5,23,0,5,8,10,1,23,1,0,0.0,1,100.0,13,40,10,0,1,0,0,1,19,2,Matches,Juventus,Serie-A
1473,Diego Pugno,it ITA,FW,18-309,0.1,4,0,0,2,3,0,4,1,0,0.0,1,100.0,2,5,3,0,1,0,0,0,1,0,Matches,Juventus,Serie-A
1474,Lorenzo Anghelè,it ITA,FW,20-075,0.1,5,0,0,5,1,0,5,1,1,100.0,0,0.0,3,19,3,0,1,0,0,0,4,0,Matches,Juventus,Serie-A
1475,Mattéo Guendouzi,fr FRA,MF,26-028,34.3,2302,69,376,1460,493,38,2302,24,15,62.5,9,37.5,1462,9280,5184,88,76,9,25,18,1740,55,Matches,Lazio,Serie-A
1476,Mattia Zaccagni,it ITA,FW,29-330,29.0,1410,25,140,545,744,96,1408,95,43,45.3,37,38.9,881,6294,2990,88,60,27,49,40,1050,250,Matches,Lazio,Serie-A
1477,Ivan Provedel,it ITA,GK,31-056,29.0,1167,859,1135,33,0,0,1167,0,0,,0,,744,3740,2307,0,0,0,0,0,749,0,Matches,Lazio,Serie-A
1478,Mario Gila,es ESP,DF,24-256,28.5,2179,234,916,1161,118,25,2179,14,4,28.6,7,50.0,1362,7824,4382,48,35,0,14,7,1561,12,Matches,Lazio,Serie-A
1479,Nicolò Rovella,it ITA,MF,23-159,28.4,2227,88,562,1374,317,15,2227,23,16,69.6,6,26.1,1365,7395,3613,41,48,2,22,14,1645,38,Matches,Lazio,Serie-A
1480,Alessio Romagnoli,it ITA,DF,30-120,27.7,1918,254,876,972,78,38,1918,3,1,33.3,2,66.7,1007,4008,1722,7,5,0,6,1,1293,4,Matches,Lazio,Serie-A
1481,Gustav Isaksen,dk DEN,FW,24-023,23.5,1032,15,98,374,583,115,1032,101,44,43.6,44,43.6,670,5054,2431,90,53,50,41,31,769,241,Matches,Lazio,Serie-A
1482,Valentín Castellanos,ar ARG,FW,26-221,24.5,778,19,53,334,400,140,775,35,16,45.7,17,48.6,394,1790,797,26,21,15,52,28,582,136,Matches,Lazio,Serie-A
1483,Boulaye Dia,sn SEN,"MF,FW",28-177,22.2,738,14,74,407,269,85,738,41,17,41.5,21,51.2,426,2186,788,21,13,9,31,32,579,107,Matches,Lazio,Serie-A
1484,Adam Marušić,me MNE,DF,32-207,24.5,1355,71,383,660,327,31,1355,22,9,40.9,12,54.5,640,2390,1182,22,26,0,10,13,876,98,Matches,Lazio,Serie-A
1485,Nuno Tavares,pt POR,DF,25-106,17.2,1166,53,305,501,389,38,1166,93,44,47.3,36,38.7,655,5102,3049,90,63,20,40,31,729,87,Matches,Lazio,Serie-A
1486,Manuel Lazzari,it ITA,DF,31-164,15.6,896,24,179,409,319,17,896,24,15,62.5,6,25.0,518,3619,2123,72,61,6,27,7,577,96,Matches,Lazio,Serie-A
1487,Fisayo Dele-Bashiru,ng NGA,"MF,FW",24-095,10.5,436,12,60,229,151,29,436,22,14,63.6,6,27.3,257,1534,704,23,11,11,16,17,335,57,Matches,Lazio,Serie-A
1488,Luca Pellegrini,it ITA,DF,26-066,11.7,822,29,190,376,268,15,822,28,11,39.3,16,57.1,405,1844,1031,21,22,4,17,9,499,58,Matches,Lazio,Serie-A
1489,Tijjani Noslin,nl NED,"FW,MF",25-309,9.4,342,8,31,149,163,46,342,19,8,42.1,10,52.6,192,1103,478,12,12,6,24,13,249,55,Matches,Lazio,Serie-A
1490,Samuel Gigot,fr FRA,DF,31-212,7.6,391,54,186,185,22,8,391,2,1,50.0,1,50.0,205,851,467,7,3,0,4,1,258,5,Matches,Lazio,Serie-A
1491,Christos Mandas,gr GRE,GK,23-237,7.0,291,222,281,11,0,0,291,0,0,,0,,201,976,628,0,0,0,0,0,179,0,Matches,Lazio,Serie-A
1492,Pedro,es ESP,"FW,MF",37-288,11.3,643,4,67,316,268,49,642,30,14,46.7,11,36.7,382,2550,1315,44,21,15,18,20,488,83,Matches,Lazio,Serie-A
1493,Matías Vecino,uy URU,MF,33-261,8.6,422,14,86,255,83,29,422,1,1,100.0,0,0.0,210,981,381,3,9,1,5,10,299,12,Matches,Lazio,Serie-A
1494,Loum Tchaouna,fr FRA,"FW,MF",21-246,7.3,341,14,35,133,174,33,341,10,5,50.0,5,50.0,188,1050,516,22,8,8,26,6,246,66,Matches,Lazio,Serie-A
1495,Patric,es ESP,DF,32-025,6.7,449,38,203,230,19,4,449,0,0,,0,,276,1514,779,4,2,0,2,0,320,5,Matches,Lazio,Serie-A
1496,Elseid Hysaj,al ALB,DF,31-081,3.9,271,17,78,133,65,5,271,6,3,50.0,3,50.0,124,535,199,3,6,0,5,0,149,11,Matches,Lazio,Serie-A
1497,Nicolò Casale,it ITA,DF,27-087,1.5,124,9,39,83,2,2,124,0,0,,0,,83,375,211,0,1,1,1,0,99,0,Matches,Lazio,Serie-A
1498,Reda Belahyane,ma MAR,MF,20-345,2.2,118,11,45,66,10,0,118,6,3,50.0,2,33.3,76,378,215,4,1,0,6,2,82,1,Matches,Lazio,Serie-A
1499,Gaetano Castrovilli,it ITA,"MF,FW",28-084,1.6,99,2,18,57,24,6,99,2,1,50.0,1,50.0,58,333,176,5,1,1,2,4,68,6,Matches,Lazio,Serie-A
1500,Oliver Nielsen,dk DEN,DF,21-342,0.4,23,3,9,12,2,0,23,0,0,,0,,10,28,11,0,0,0,0,0,13,0,Matches,Lazio,Serie-A
1501,Arijon Ibrahimović,de GER,MF,19-152,0.1,6,0,0,3,3,0,6,0,0,,0,,1,1,0,0,0,0,0,0,2,0,Matches,Lazio,Serie-A
1502,Federico Baschirotto,it ITA,DF,28-234,36.0,1944,340,1181,702,69,33,1944,5,4,80.0,0,0.0,897,4553,2447,13,9,0,13,1,1106,5,Matches,Lecce,Serie-A
1503,Wladimiro Falcone,it ITA,GK,30-030,36.0,1244,1107,1238,6,0,0,1244,0,0,,0,,685,3599,2119,0,0,0,0,0,561,0,Matches,Lecce,Serie-A
1504,Nikola Krstović,me MNE,FW,25-037,32.4,1005,28,59,461,499,147,1002,61,16,26.2,41,67.2,550,2596,1110,40,22,22,82,39,750,142,Matches,Lecce,Serie-A
1505,Antonino Gallo,it ITA,DF,25-127,27.0,1504,103,541,610,367,14,1504,29,13,44.8,11,37.9,638,3498,1889,53,38,4,37,13,714,105,Matches,Lecce,Serie-A
1506,Frederic Guilbert,fr FRA,DF,30-139,25.1,1515,104,528,728,287,4,1515,37,18,48.6,13,35.1,630,3577,1941,45,32,2,25,7,718,41,Matches,Lecce,Serie-A
1507,Lassana Coulibaly,ml MLI,MF,29-032,27.6,1163,80,302,714,159,15,1163,33,15,45.5,12,36.4,587,3086,1090,15,17,2,31,18,679,42,Matches,Lecce,Serie-A
1508,Kialonda,ao ANG,DF,27-227,21.8,1143,185,716,385,51,29,1143,9,7,77.8,2,22.2,534,2200,981,3,3,1,13,1,676,5,Matches,Lecce,Serie-A
1509,Tete Morente,es ESP,"FW,MF",28-159,21.5,945,24,144,441,376,39,945,52,29,55.8,20,38.5,533,3311,1589,48,42,6,40,13,621,140,Matches,Lecce,Serie-A
1510,Santiago Pierotti,ar ARG,FW,24-039,20.5,688,41,137,305,264,79,688,47,20,42.6,26,55.3,337,2184,1067,41,23,20,57,30,392,83,Matches,Lecce,Serie-A
1511,Patrick Dorgu,dk DEN,"DF,FW",20-198,20.4,1011,56,255,445,332,50,1011,44,13,29.5,25,56.8,557,3684,1871,68,40,20,37,37,658,117,Matches,Lecce,Serie-A
1512,Ylber Ramadani,al ALB,MF,29-030,18.8,994,61,330,564,118,7,994,23,12,52.2,11,47.8,516,2326,882,8,11,2,19,22,625,6,Matches,Lecce,Serie-A
1513,Balthazar Pierret,fr FRA,MF,24-362,18.7,998,60,230,653,127,13,998,23,13,56.5,6,26.1,496,2314,998,12,10,1,25,9,621,13,Matches,Lecce,Serie-A
1514,Gaby Jean,fr FRA,DF,25-082,15.4,992,136,580,396,22,3,992,3,2,66.7,1,33.3,500,2589,1296,8,1,0,5,5,618,3,Matches,Lecce,Serie-A
1515,Hamza Rafia,tn TUN,MF,26-040,11.8,651,16,132,367,164,12,651,22,10,45.5,7,31.8,317,1511,662,13,16,2,21,20,411,32,Matches,Lecce,Serie-A
1516,Þórir Jóhann Helgason,is ISL,MF,24-226,12.0,467,9,54,209,212,22,467,13,7,53.8,6,46.2,218,1237,628,19,8,3,25,10,272,55,Matches,Lecce,Serie-A
1517,Ante Rebić,hr CRO,"FW,MF",31-233,8.3,409,5,40,172,201,41,409,29,8,27.6,17,58.6,212,1088,437,16,8,6,37,14,301,61,Matches,Lecce,Serie-A
1518,Medon Berisha,al ALB,MF,21-203,7.3,464,11,86,263,123,7,464,9,3,33.3,4,44.4,266,1532,848,13,6,3,10,1,300,17,Matches,Lecce,Serie-A
1519,Lameck Banda,zm ZAM,"FW,MF",24-103,6.8,252,5,39,100,120,21,252,28,10,35.7,14,50.0,170,1626,864,27,10,17,17,9,171,46,Matches,Lecce,Serie-A
1520,Jesper Karlsson,se SWE,FW,26-291,4.9,183,2,20,70,94,8,182,9,6,66.7,3,33.3,105,656,287,11,10,1,9,6,129,32,Matches,Lecce,Serie-A
1521,Remi Oudin,fr FRA,"MF,FW",28-175,3.3,168,5,34,75,61,2,168,6,3,50.0,3,50.0,94,523,139,2,5,0,5,3,104,16,Matches,Lecce,Serie-A
1522,Mohamed Kaba,fr FRA,MF,23-197,4.3,221,12,58,129,35,6,221,5,1,20.0,3,60.0,126,618,227,3,4,0,12,5,152,8,Matches,Lecce,Serie-A
1523,Danilo Veiga,pt POR,DF,22-229,3.9,206,8,47,90,69,5,206,11,5,45.5,5,45.5,102,623,386,9,5,1,7,5,102,13,Matches,Lecce,Serie-A
1524,Valentin Gendrey,fr FRA,DF,24-325,2.0,69,3,16,38,15,3,69,0,0,,0,,32,254,144,7,4,0,1,0,39,4,Matches,Lecce,Serie-A
1525,Konan N'dri,ci CIV,"FW,MF",24-197,2.9,101,1,4,34,64,6,101,20,7,35.0,10,50.0,65,725,375,14,12,2,10,7,70,18,Matches,Lecce,Serie-A
1526,Andy Pelmard,fr FRA,DF,25-061,1.4,48,5,23,20,7,0,48,1,1,100.0,0,0.0,19,72,24,1,1,0,0,0,19,0,Matches,Lecce,Serie-A
1527,Tiago Gabriel,pt POR,DF,20-137,1.1,56,9,33,23,0,0,56,0,0,,0,,31,121,56,0,0,0,0,0,32,0,Matches,Lecce,Serie-A
1528,Marco Sala,it ITA,DF,25-342,0.8,52,0,11,25,16,0,52,0,0,,0,,32,211,137,5,0,0,0,0,37,9,Matches,Lecce,Serie-A
1529,Kevin Bonifazi,it ITA,DF,28-358,0.7,54,6,28,27,0,0,54,2,1,50.0,1,50.0,28,204,53,0,0,0,2,0,31,1,Matches,Lecce,Serie-A
1530,Nicola Sansone,it ITA,"MF,FW",33-244,0.7,29,1,4,10,15,3,29,1,0,0.0,1,100.0,20,83,7,0,1,0,1,1,20,5,Matches,Lecce,Serie-A
1531,Rareș-Cătălin Burnete,ro ROU,FW,21-101,0.3,16,0,0,10,6,2,16,0,0,,0,,8,16,2,0,0,0,4,2,10,4,Matches,Lecce,Serie-A
1532,Filip Marchwiński,pl POL,MF,23-122,0.2,5,0,0,2,3,0,5,0,0,,0,,3,6,1,0,0,0,0,0,4,0,Matches,Lecce,Serie-A
1533,Mike Maignan,fr FRA,GK,29-313,34.6,1557,986,1528,30,0,0,1557,1,1,100.0,0,0.0,974,5027,3289,0,0,0,1,0,911,0,Matches,Milan,Serie-A
1534,Tijjani Reijnders,nl NED,MF,26-287,32.8,1724,36,255,885,600,79,1724,68,36,52.9,27,39.7,1113,7563,3971,109,91,28,35,31,1276,112,Matches,Milan,Serie-A
1535,Theo Hernández,fr FRA,DF,27-218,30.0,1901,84,510,850,565,59,1900,55,24,43.6,23,41.8,1046,6314,3910,93,58,25,32,20,1186,148,Matches,Milan,Serie-A
1536,Youssouf Fofana,fr FRA,MF,26-122,27.4,1630,34,321,1078,255,21,1630,31,14,45.2,17,54.8,969,5676,3109,44,49,5,30,20,1200,31,Matches,Milan,Serie-A
1537,Christian Pulisic,us USA,"FW,MF",26-236,25.6,1249,14,146,468,656,116,1245,79,34,43.0,34,43.0,776,5387,3077,109,65,34,55,36,887,175,Matches,Milan,Serie-A
1538,Rafael Leão,pt POR,FW,25-336,25.5,1120,6,68,449,630,151,1120,128,59,46.1,58,45.3,770,5721,3046,123,71,67,51,36,929,261,Matches,Milan,Serie-A
1539,Matteo Gabbia,it ITA,DF,25-203,22.0,1483,161,750,695,39,19,1483,1,1,100.0,0,0.0,918,4154,2177,13,5,0,5,1,1099,2,Matches,Milan,Serie-A
1540,Malick Thiaw,de GER,DF,23-277,20.1,1432,133,670,720,50,15,1432,4,3,75.0,1,25.0,905,4167,2180,12,11,0,8,2,1044,1,Matches,Milan,Serie-A
1541,Strahinja Pavlović,rs SRB,DF,23-353,18.7,1436,126,692,676,80,18,1436,11,4,36.4,4,36.4,931,5279,3264,37,25,0,18,4,1035,9,Matches,Milan,Serie-A
1542,Yunus Musah,us USA,"MF,FW",22-164,16.0,812,16,125,436,268,36,812,36,20,55.6,12,33.3,533,3774,1926,49,40,12,41,12,612,68,Matches,Milan,Serie-A
1543,Fikayo Tomori,eng ENG,DF,27-144,15.7,1107,104,539,532,39,6,1107,2,2,100.0,0,0.0,616,2733,1506,7,8,0,7,2,749,2,Matches,Milan,Serie-A
1544,Emerson,br BRA,DF,26-118,15.3,1102,56,312,526,271,22,1102,18,7,38.9,9,50.0,584,2423,1228,23,19,3,18,10,710,71,Matches,Milan,Serie-A
1545,Alejandro Jiménez,es ESP,"DF,FW",20-004,13.0,685,20,175,285,238,30,685,46,26,56.5,19,41.3,400,2859,1553,52,25,16,25,11,410,66,Matches,Milan,Serie-A
1546,Álvaro Morata,es ESP,"FW,MF",32-201,12.2,383,6,34,180,170,61,383,17,6,35.3,7,41.2,215,1182,519,18,13,7,24,16,292,63,Matches,Milan,Serie-A
1547,Tammy Abraham,eng ENG,FW,27-222,13.1,367,20,46,172,149,57,365,14,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69,Matches,Milan,Serie-A
1548,Samuel Chukwueze,ng NGA,"FW,MF",25-355,9.8,530,8,62,186,288,52,530,44,24,54.5,19,43.2,349,2520,1394,45,33,19,23,9,386,113,Matches,Milan,Serie-A
1549,Ruben Loftus-Cheek,eng ENG,MF,29-109,9.8,472,15,88,272,120,23,472,22,10,45.5,8,36.4,280,1704,972,24,17,9,15,6,367,30,Matches,Milan,Serie-A
1550,Kyle Walker,eng ENG,DF,34-349,7.3,492,33,163,238,96,6,492,7,5,71.4,2,28.6,310,1392,674,11,5,2,6,4,323,19,Matches,Milan,Serie-A
1551,Santiago Giménez,mx MEX,FW,24-024,7.2,187,13,24,70,96,36,186,19,7,36.8,12,63.2,99,518,282,13,5,5,22,2,119,37,Matches,Milan,Serie-A
1552,João Félix,pt POR,MF,25-183,6.8,327,8,42,154,135,34,327,31,14,45.2,14,45.2,221,1252,592,16,20,10,13,9,261,44,Matches,Milan,Serie-A
1553,Filippo Terracciano,it ITA,"DF,MF",22-093,6.0,303,10,93,169,43,3,303,2,0,0.0,2,100.0,162,642,338,5,3,0,1,5,194,9,Matches,Milan,Serie-A
1554,Luka Jović,rs SRB,"FW,MF",27-140,5.4,154,4,13,93,52,17,154,6,4,66.7,1,16.7,87,489,193,8,3,1,8,4,128,22,Matches,Milan,Serie-A
1555,Noah Okafor,ch SUI,FW,24-353,4.6,163,1,10,62,97,28,163,25,12,48.0,11,44.0,111,891,563,21,11,10,12,9,123,48,Matches,Milan,Serie-A
1556,Davide Calabria,it ITA,DF,28-157,3.5,258,9,56,137,69,4,258,5,3,60.0,1,20.0,159,727,358,8,5,0,1,1,174,31,Matches,Milan,Serie-A
1557,Ismaël Bennacer,dz ALG,MF,27-162,3.3,249,7,48,151,50,1,249,10,9,90.0,1,10.0,156,971,406,8,4,0,3,3,199,12,Matches,Milan,Serie-A
1558,Warren Bondo,fr FRA,MF,21-239,1.8,97,3,19,65,16,0,97,1,1,100.0,0,0.0,66,287,129,2,3,0,2,1,68,0,Matches,Milan,Serie-A
1559,Francesco Camarda,it ITA,"FW,MF",17-063,1.8,61,5,10,26,26,11,61,7,2,28.6,4,57.1,24,143,55,2,1,0,6,3,34,9,Matches,Milan,Serie-A
1560,Marco Sportiello,it ITA,GK,33-002,1.4,63,42,62,1,0,0,63,0,0,,0,,37,180,117,0,0,0,0,0,31,0,Matches,Milan,Serie-A
1561,Riccardo Sottil,it ITA,"FW,MF",25-343,1.3,60,1,10,19,31,6,60,4,1,25.0,2,50.0,45,331,201,11,5,3,3,1,42,13,Matches,Milan,Serie-A
1562,Alexis Saelemaekers,be BEL,"DF,FW",25-319,1.0,81,0,9,34,38,2,81,0,0,,0,,59,356,234,7,4,1,1,0,61,13,Matches,Milan,Serie-A
1563,Mattia Liberali,it ITA,MF,18-036,0.7,38,0,1,21,16,2,38,1,0,0.0,0,0.0,30,121,71,1,0,0,1,2,30,4,Matches,Milan,Serie-A
1564,Davide Bartesaghi,it ITA,"DF,MF",19-134,0.6,39,2,10,11,19,1,39,2,0,0.0,2,100.0,21,88,45,2,1,0,0,0,22,11,Matches,Milan,Serie-A
1565,Kevin Zeroli,it ITA,MF,20-121,0.1,9,0,1,4,5,0,9,0,0,,0,,7,48,42,1,1,0,0,1,8,3,Matches,Milan,Serie-A
1566,Bob Murphy Omoregbe,it ITA,MF,21-188,0.0,2,0,0,0,2,1,2,0,0,,0,,1,13,9,0,0,0,0,0,1,1,Matches,Milan,Serie-A
1567,Giorgos Kyriakopoulos,gr GRE,DF,29-096,29.6,1578,80,454,609,531,33,1578,41,16,39.0,14,34.1,795,4887,2613,64,49,11,27,17,867,125,Matches,Monza,Serie-A
1568,Pedro Pereira,pt POR,DF,27-110,28.6,1351,99,479,568,310,32,1351,25,14,56.0,11,44.0,754,3608,1892,51,37,7,25,18,825,104,Matches,Monza,Serie-A
1569,Stefano Turati,it ITA,GK,23-249,29.7,1166,1027,1159,7,0,0,1166,0,0,,0,,720,3496,1980,0,0,0,0,0,612,0,Matches,Monza,Serie-A
1570,Armando Izzo,it ITA,DF,33-071,26.9,1754,261,1029,646,92,13,1754,9,6,66.7,2,22.2,998,4539,2204,12,14,0,21,6,1073,12,Matches,Monza,Serie-A
1571,Alessandro Bianco,it ITA,MF,22-223,27.0,1683,89,493,975,233,14,1683,38,17,44.7,17,44.7,1101,5420,2444,34,31,4,35,20,1196,23,Matches,Monza,Serie-A
1572,Dany Mota,pt POR,"FW,MF",27-010,23.0,800,23,84,370,355,77,800,39,13,33.3,22,56.4,487,3050,1270,52,28,12,61,28,587,134,Matches,Monza,Serie-A
1573,Andrea Carboni,it ITA,DF,24-097,22.3,1279,143,619,551,112,17,1279,7,4,57.1,3,42.9,730,2798,1393,8,12,0,13,5,827,28,Matches,Monza,Serie-A
1574,Pablo Marí,es ESP,DF,31-254,18.1,1296,228,753,534,12,5,1296,6,6,100.0,0,0.0,765,3398,1700,5,4,0,4,5,861,1,Matches,Monza,Serie-A
1575,Warren Bondo,fr FRA,MF,21-239,18.0,741,27,179,440,140,7,741,40,20,50.0,12,30.0,511,3240,1464,25,19,2,20,30,521,21,Matches,Monza,Serie-A
1576,Gianluca Caprari,it ITA,"MF,FW",31-286,16.8,833,3,66,406,368,33,831,38,10,26.3,21,55.3,571,3050,1395,38,33,12,37,29,621,96,Matches,Monza,Serie-A
1577,Daniel Maldini,it ITA,"MF,FW",23-213,14.5,584,13,70,287,242,41,584,72,30,41.7,37,51.4,388,2656,1287,41,31,10,36,31,426,66,Matches,Monza,Serie-A
1578,Samuele Birindelli,it ITA,DF,25-297,14.3,663,31,153,275,242,24,663,10,5,50.0,3,30.0,410,2279,1166,35,24,10,25,11,427,82,Matches,Monza,Serie-A
1579,Milan Đurić,ba BIH,FW,34-355,14.1,358,18,40,212,110,31,358,6,4,66.7,2,33.3,150,368,134,2,2,1,15,14,289,30,Matches,Monza,Serie-A
1580,Danilo D'Ambrosio,it ITA,DF,36-245,12.2,776,126,400,296,84,19,776,7,2,28.6,5,71.4,443,1697,803,10,6,1,15,1,476,16,Matches,Monza,Serie-A
1581,Patrick Ciurria,it ITA,"MF,DF",30-092,11.3,499,20,94,221,188,17,499,12,5,41.7,7,58.3,271,1232,585,17,8,3,17,13,290,48,Matches,Monza,Serie-A
1582,Matteo Pessina,it ITA,MF,28-021,9.5,559,16,155,317,91,5,559,10,5,50.0,3,30.0,333,1750,735,8,10,1,9,13,397,20,Matches,Monza,Serie-A
1583,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",32-213,8.7,401,25,139,189,82,4,401,35,12,34.3,17,48.6,239,1457,641,13,13,1,20,2,218,13,Matches,Monza,Serie-A
1584,Luca Caldirola,it ITA,DF,34-100,8.5,590,71,305,265,21,4,590,1,1,100.0,0,0.0,377,1720,877,4,4,0,2,1,413,4,Matches,Monza,Serie-A
1585,Gaetano Castrovilli,it ITA,MF,28-084,6.4,292,14,63,146,86,9,292,11,5,45.5,5,45.5,177,888,481,10,8,0,9,8,183,28,Matches,Monza,Serie-A
1586,Semuel Pizzignacco,it ITA,GK,23-253,6.3,260,200,256,3,1,0,260,0,0,,0,,154,677,475,0,0,0,0,0,135,0,Matches,Monza,Serie-A
1587,Kacper Urbanski,pl POL,MF,20-247,5.6,304,11,69,167,69,3,304,8,3,37.5,4,50.0,187,1160,473,10,5,0,6,10,222,14,Matches,Monza,Serie-A
