,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Squad,League
133,Julio Enciso,py PAR,"MF,FW",21-122,3.3,12,3.69,5,1,3,1,2,0,0,0.0,0,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
134,Evan Ferguson,ie IRL,FW,20-218,2.7,4,1.47,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
135,Jason Steele,eng ENG,GK,34-280,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
136,Solly March,eng ENG,"FW,MF",30-309,1.9,7,3.77,6,1,0,0,0,0,2,1.08,2,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
137,Billy Gilmour,sct SCO,MF,23-348,1.1,3,2.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
138,Eiran Cashin,ie IRL,DF,23-197,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
139,Jakub Moder,pl POL,MF,26-048,0.1,4,32.73,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
140,Jeremy Sarmiento,ec ECU,MF,22-343,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
141,Harry Howell,eng ENG,FW,16-238,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Brighton-and-Hove-Albion,Premier-League
142,Moisés Caicedo,ec ECU,"MF,DF",23-204,36.2,96,2.65,84,0,2,0,3,7,9,0.25,6,0,0,0,2,1,Matches,Chelsea,Premier-League
143,Cole Palmer,eng ENG,MF,23-019,34.5,200,5.81,132,21,16,21,8,2,15,0.44,11,0,2,1,1,0,Matches,Chelsea,Premier-League
144,Levi Colwill,eng ENG,DF,22-088,34.0,38,1.12,34,2,0,1,0,1,3,0.09,2,0,0,0,0,1,Matches,Chelsea,Premier-League
145,Marc Cucurella,es ESP,DF,26-307,32.2,50,1.55,44,3,0,2,1,0,5,0.16,4,1,0,0,0,0,Matches,Chelsea,Premier-League
146,Enzo Fernández,ar ARG,MF,24-128,31.7,146,4.6,115,16,2,4,4,5,16,0.5,13,2,0,1,0,0,Matches,Chelsea,Premier-League
147,Robert Sánchez,es ESP,GK,27-188,31.0,7,0.23,6,1,0,0,0,0,2,0.06,1,1,0,0,0,0,Matches,Chelsea,Premier-League
148,Nicolas Jackson,sn SEN,FW,23-339,24.7,69,2.8,42,0,9,7,9,2,10,0.41,7,0,2,1,0,0,Matches,Chelsea,Premier-League
