,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Squad,League
1356,Lucas Martínez Quarta,ar ARG,DF,28.0,3.9,4,1.03,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Fiorentina,Serie-A
1357,Nicolò Zaniolo,it ITA,FW,25.0,3.8,10,2.42,6,0,1,0,3,0,0,0.0,0,0,0,0,0,0,Matches,Fiorentina,Serie-A
1358,Pietro Terracciano,it ITA,GK,34.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Fiorentina,Serie-A
1359,Sofyan Amrabat,ma MAR,MF,27.0,2.0,4,2.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Fiorentina,Serie-A
1360,Matias Moreno,ar ARG,DF,20.0,1.6,3,1.87,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Fiorentina,Serie-A
1361,Jonathan Ikone,fr FRA,"FW,MF",26.0,3.7,13,3.5,8,0,2,1,2,0,0,0.0,0,0,0,0,0,0,Matches,Fiorentina,Serie-A
1362,Michael Kayode,it ITA,"DF,FW",20.0,1.4,4,2.83,2,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Fiorentina,Serie-A
1363,Antonín Barák,cz CZE,MF,29.0,0.6,3,5.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Fiorentina,Serie-A
1364,Alessandro Bianco,it ITA,MF,21.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Fiorentina,Serie-A
1365,Maat Daniel Caprini,it ITA,FW,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Fiorentina,Serie-A
1366,Tommaso Rubino,it ITA,MF,17.0,0.1,1,11.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Fiorentina,Serie-A
1367,Morten Frendrup,dk DEN,MF,23.0,34.5,53,1.54,46,0,0,0,3,4,4,0.12,4,0,0,0,0,0,Matches,Genoa,Serie-A
1368,Aarón Martín,es ESP,DF,27.0,34.3,95,2.77,42,48,2,1,2,0,13,0.38,8,5,0,0,0,0,Matches,Genoa,Serie-A
1369,Johan Vásquez,mx MEX,DF,25.0,33.8,25,0.74,18,1,0,3,2,1,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1370,Andrea Pinamonti,it ITA,FW,25.0,31.7,48,1.52,35,1,0,10,2,0,5,0.16,3,0,0,2,0,0,Matches,Genoa,Serie-A
1371,Nicola Leali,it ITA,GK,31.0,29.0,2,0.07,2,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Genoa,Serie-A
1372,Koni De Winter,be BEL,DF,22.0,23.7,15,0.63,11,2,0,0,1,1,1,0.04,1,0,0,0,0,0,Matches,Genoa,Serie-A
1373,Stefano Sabelli,it ITA,DF,31.0,22.9,38,1.66,33,3,0,0,2,0,2,0.09,2,0,0,0,0,0,Matches,Genoa,Serie-A
1374,Morten Thorsby,no NOR,"MF,FW",28.0,21.1,55,2.61,48,0,0,4,2,1,2,0.09,2,0,0,0,0,0,Matches,Genoa,Serie-A
1375,Fabio Miretti,it ITA,"MF,FW",20.0,18.6,53,2.84,29,11,4,5,4,0,6,0.32,4,2,0,0,0,0,Matches,Genoa,Serie-A
1376,Milan Badelj,hr CRO,MF,35.0,16.4,26,1.59,20,0,0,4,2,0,1,0.06,0,0,0,1,0,0,Matches,Genoa,Serie-A
1377,Alessandro Zanoli,it ITA,"FW,DF",23.0,19.0,32,1.68,25,2,2,1,1,1,1,0.05,1,0,0,0,0,0,Matches,Genoa,Serie-A
1378,Mattia Bani,it ITA,DF,30.0,16.7,7,0.42,6,0,0,1,0,0,2,0.12,1,0,0,1,0,0,Matches,Genoa,Serie-A
1379,Patrizio Masini,it ITA,MF,23.0,17.1,24,1.4,18,0,1,0,5,0,3,0.18,2,0,0,0,1,0,Matches,Genoa,Serie-A
1380,Vitinha,pt POR,"FW,MF",24.0,14.8,41,2.78,25,4,5,2,5,0,3,0.2,3,0,0,0,0,0,Matches,Genoa,Serie-A
1381,Alan Matturro,uy URU,DF,19.0,10.0,9,0.9,7,1,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1382,Junior Messias,br BRA,"MF,FW",33.0,9.4,23,2.44,13,0,3,3,4,0,3,0.32,2,0,0,1,0,0,Matches,Genoa,Serie-A
1383,Brooke Norton-Cuffy,eng ENG,"DF,FW",20.0,8.0,13,1.63,10,1,2,0,0,0,3,0.38,3,0,0,0,0,0,Matches,Genoa,Serie-A
1384,Alessandro Vogliacco,it ITA,DF,25.0,7.9,6,0.76,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1385,Pierluigi Gollini,it ITA,GK,29.0,7.0,4,0.57,1,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1386,Jeff Ekhator,it ITA,"FW,MF",17.0,8.5,21,2.46,15,0,0,2,4,0,2,0.23,1,0,0,1,0,0,Matches,Genoa,Serie-A
1387,Ruslan Malinovskyi,ua UKR,"MF,FW",31.0,4.3,17,3.98,11,2,0,3,1,0,2,0.47,2,0,0,0,0,0,Matches,Genoa,Serie-A
1388,Caleb Ekuban,gh GHA,FW,30.0,6.2,14,2.27,11,0,0,2,1,0,3,0.49,3,0,0,0,0,0,Matches,Genoa,Serie-A
1389,Honest Ahanor,it ITA,"DF,MF",16.0,3.0,5,1.67,3,0,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1390,Sebastian Otoa,dk DEN,DF,20.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1391,Jean Onana,cm CMR,MF,24.0,3.4,4,1.18,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1392,Maxwel Cornet,ci CIV,"FW,MF",27.0,2.7,8,2.93,6,0,2,0,0,0,1,0.37,1,0,0,0,0,0,Matches,Genoa,Serie-A
1393,Lior Kasa,il ISR,"MF,FW",18.0,2.6,5,1.97,3,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1394,Benjamin Siegrist,ch SUI,GK,32.0,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1395,Lorenzo Venturino,it ITA,"FW,MF",18.0,1.9,6,3.23,3,0,1,1,0,1,1,0.54,0,0,1,0,0,0,Matches,Genoa,Serie-A
1396,Emil Bohinen,no NOR,MF,25.0,1.8,5,2.69,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1397,Filippo Melegoni,it ITA,"MF,FW",25.0,1.0,1,1.01,1,0,0,0,0,0,1,1.01,1,0,0,0,0,0,Matches,Genoa,Serie-A
1398,Alessandro Marcandalli,it ITA,DF,21.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1399,Mario Balotelli,it ITA,"FW,MF",33.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1400,David Akpan Ankeye,ng NGA,"FW,MF",22.0,0.5,1,2.0,0,0,0,0,1,0,1,2.0,0,0,0,0,1,0,Matches,Genoa,Serie-A
1401,Gastón Pereiro,uy URU,MF,29.0,0.3,1,2.9,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1402,Daniele Sommariva,it ITA,GK,27.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1403,Federico Accornero,it ITA,MF,20.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Genoa,Serie-A
1404,Lorenzo Montipò,it ITA,GK,28.0,36.0,5,0.14,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1405,Jackson Tchatchoua,cm CMR,"DF,MF",22.0,34.2,59,1.73,52,3,1,2,0,1,2,0.06,2,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1406,Diego Coppola,it ITA,DF,20.0,31.5,10,0.32,9,0,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1407,Ondrej Duda,sk SVK,MF,29.0,25.6,71,2.77,43,18,2,3,4,1,6,0.23,4,2,0,0,0,0,Matches,Hellas-Verona,Serie-A
1408,Tomáš Suslov,sk SVK,"MF,FW",22.0,22.5,74,3.3,47,12,5,2,6,2,4,0.18,1,1,0,0,1,1,Matches,Hellas-Verona,Serie-A
1409,Amin Sarr,se SWE,FW,23.0,20.5,44,2.15,34,0,3,5,2,0,3,0.15,1,0,0,2,0,0,Matches,Hellas-Verona,Serie-A
1410,Domagoj Bradarić,hr CRO,DF,24.0,20.6,45,2.19,29,12,2,1,1,0,1,0.05,1,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1411,Paweł Dawidowicz,pl POL,"DF,MF",29.0,19.5,8,0.41,6,2,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1412,Daniele Ghilardi,it ITA,DF,21.0,21.5,16,0.74,11,0,0,0,4,1,1,0.05,1,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1413,Casper Tengstedt,dk DEN,FW,24.0,16.9,24,1.42,17,0,1,4,2,0,3,0.18,2,0,0,1,0,0,Matches,Hellas-Verona,Serie-A
1414,Reda Belahyane,ma MAR,MF,20.0,18.4,41,2.23,34,0,3,1,1,2,3,0.16,2,0,0,0,0,1,Matches,Hellas-Verona,Serie-A
1415,Darko Lazović,rs SRB,"DF,MF",33.0,16.2,23,1.42,17,4,0,1,1,0,4,0.25,1,1,0,1,1,0,Matches,Hellas-Verona,Serie-A
1416,Suat Serdar,de GER,MF,27.0,14.4,28,1.95,18,0,3,3,4,0,1,0.07,1,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1417,Daniel Mosquera,co COL,FW,24.0,14.9,42,2.82,28,0,1,11,1,1,3,0.2,2,0,0,1,0,0,Matches,Hellas-Verona,Serie-A
1418,Nicolás Valentini,ar ARG,DF,23.0,11.5,11,0.95,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1419,Giangiacomo Magnani,it ITA,DF,28.0,11.8,4,0.34,2,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1420,Flavius Daniliuc,at AUT,DF,23.0,11.2,11,0.98,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1421,Dailon Livramento,cv CPV,"FW,MF",23.0,10.1,18,1.78,11,0,4,1,1,1,3,0.3,1,0,1,1,0,0,Matches,Hellas-Verona,Serie-A
1422,Grigoris Kastanos,cy CYP,"MF,FW",26.0,9.7,24,2.47,13,8,0,2,1,0,2,0.21,1,1,0,0,0,0,Matches,Hellas-Verona,Serie-A
1423,Cheikh Tidiane Niasse,sn SEN,MF,24.0,8.4,12,1.43,10,0,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1424,Antoine Bernede,fr FRA,MF,25.0,6.5,22,3.39,16,2,1,1,0,2,1,0.15,0,0,1,0,0,0,Matches,Hellas-Verona,Serie-A
1425,Martin Frese,dk DEN,DF,26.0,6.0,10,1.66,5,3,0,1,1,0,1,0.17,0,0,0,0,1,0,Matches,Hellas-Verona,Serie-A
1426,Abdou Harroui,nl NED,"MF,FW",26.0,5.1,15,2.92,13,0,2,0,0,0,3,0.58,3,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1427,Daniel Bandeira,pt POR,MF,24.0,4.5,6,1.33,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1428,Davide Faraoni,it ITA,DF,32.0,2.9,3,1.04,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1429,Simone Perilli,it ITA,GK,29.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1430,Daniel Oyegoke,eng ENG,DF,21.0,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1431,Mathis Lambourde,fr FRA,"FW,MF",18.0,1.0,2,2.0,1,0,1,0,0,0,1,1.0,0,0,1,0,0,0,Matches,Hellas-Verona,Serie-A
1432,Faride Alidou,de GER,"FW,MF",23.0,0.8,2,2.54,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1433,Junior Ajayi,ci CIV,FW,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1434,Alphadjo Cissè,it ITA,"FW,MF",17.0,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1435,Yllan Okou,fr FRA,DF,21.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Hellas-Verona,Serie-A
1436,Yann Sommer,ch SUI,GK,36-159,33.0,6,0.18,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Internazionale,Serie-A
1437,Lautaro Martínez,ar ARG,FW,27-276,28.5,77,2.7,58,0,2,12,4,1,8,0.28,5,0,1,2,0,0,Matches,Internazionale,Serie-A
1438,Alessandro Bastoni,it ITA,DF,26-042,26.7,71,2.66,61,4,0,1,3,2,11,0.41,9,1,0,0,1,0,Matches,Internazionale,Serie-A
1439,Henrikh Mkhitaryan,am ARM,MF,36-124,26.6,101,3.8,96,2,2,0,1,0,12,0.45,11,0,0,0,1,0,Matches,Internazionale,Serie-A
1440,Nicolò Barella,it ITA,MF,28-107,27.7,112,4.07,89,7,5,5,4,2,15,0.54,14,0,1,0,0,0,Matches,Internazionale,Serie-A
1441,Federico Dimarco,it ITA,"DF,FW",27-196,24.2,96,4.0,57,26,2,9,2,0,14,0.58,10,2,0,2,0,0,Matches,Internazionale,Serie-A
1442,Marcus Thuram,fr FRA,FW,27-292,25.4,90,3.54,66,0,7,7,9,1,16,0.63,10,0,2,1,3,0,Matches,Internazionale,Serie-A
1443,Hakan Çalhanoğlu,tr TUR,MF,31-106,21.6,99,4.58,58,33,1,5,0,2,14,0.65,7,6,0,1,0,0,Matches,Internazionale,Serie-A
1444,Denzel Dumfries,nl NED,"DF,FW",29-037,21.7,55,2.53,38,6,3,3,4,1,4,0.18,2,0,0,1,1,0,Matches,Internazionale,Serie-A
1445,Matteo Darmian,it ITA,DF,35-174,19.8,34,1.72,26,3,0,1,2,2,4,0.2,4,0,0,0,0,0,Matches,Internazionale,Serie-A
1446,Francesco Acerbi,it ITA,DF,37-104,19.0,20,1.05,20,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,Internazionale,Serie-A
1447,Stefan de Vrij,nl NED,DF,33-109,19.2,14,0.73,9,0,0,5,0,0,3,0.16,2,0,0,1,0,0,Matches,Internazionale,Serie-A
1448,Benjamin Pavard,fr FRA,DF,29-058,17.6,21,1.19,19,0,0,1,1,0,1,0.06,1,0,0,0,0,0,Matches,Internazionale,Serie-A
1449,Yann Aurel Bisseck,de GER,DF,24-177,18.3,20,1.1,16,0,0,2,1,1,4,0.22,4,0,0,0,0,0,Matches,Internazionale,Serie-A
1450,Carlos Augusto,br BRA,DF,26-138,18.8,24,1.28,18,1,0,1,2,2,3,0.16,2,0,0,1,0,0,Matches,Internazionale,Serie-A
1451,Kristjan Asllani,al ALB,MF,23-077,11.0,31,2.82,23,6,0,1,1,0,3,0.27,2,1,0,0,0,0,Matches,Internazionale,Serie-A
1452,Davide Frattesi,it ITA,MF,25-215,13.6,19,1.4,13,0,2,2,2,0,2,0.15,1,0,0,0,1,0,Matches,Internazionale,Serie-A
1453,Piotr Zieliński,pl POL,MF,31-005,10.9,40,3.67,28,8,1,2,0,1,7,0.64,6,0,0,0,0,1,Matches,Internazionale,Serie-A
1454,Mehdi Taremi,ir IRN,FW,32-311,9.1,33,3.64,25,0,1,3,4,0,4,0.44,2,0,0,1,1,0,Matches,Internazionale,Serie-A
1455,Joaquín Correa,ar ARG,"FW,MF",30-285,8.1,25,3.07,21,0,2,1,1,0,4,0.49,3,0,1,0,0,0,Matches,Internazionale,Serie-A
1456,Marko Arnautović,at AUT,FW,36-036,6.1,15,2.46,15,0,0,0,0,0,2,0.33,2,0,0,0,0,0,Matches,Internazionale,Serie-A
1457,Josep Martinez,es ESP,GK,26-363,5.0,1,0.2,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Internazionale,Serie-A
1458,Nicola Zalewski,pl POL,"DF,MF",23-122,4.8,20,4.14,17,0,1,1,1,0,1,0.21,1,0,0,0,0,0,Matches,Internazionale,Serie-A
1459,Tajon Buchanan,ca CAN,"DF,FW",26-106,1.1,3,2.84,1,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Internazionale,Serie-A
1460,Tomás Palacios,ar ARG,DF,22-027,0.1,1,8.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Internazionale,Serie-A
1461,Luka Topalović,si SVN,MF,19-091,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Internazionale,Serie-A
1462,Manuel Locatelli,it ITA,MF,27-137,30.4,97,3.2,84,5,1,3,2,2,8,0.26,6,1,0,0,0,1,Matches,Juventus,Serie-A
1463,Michele Di Gregorio,it ITA,GK,27-302,32.0,2,0.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Juventus,Serie-A
1464,Kenan Yıldız,tr TUR,"FW,MF",20-021,25.7,124,4.83,82,9,13,12,5,3,9,0.35,6,0,2,1,0,0,Matches,Juventus,Serie-A
1465,Weston McKennie,us USA,"MF,DF",26-270,25.5,60,2.35,50,3,1,3,3,0,9,0.35,9,0,0,0,0,0,Matches,Juventus,Serie-A
1466,Federico Gatti,it ITA,DF,26-335,24.3,26,1.07,17,0,1,5,1,2,2,0.08,0,0,0,1,1,0,Matches,Juventus,Serie-A
1467,Pierre Kalulu,fr FRA,DF,24-354,26.0,36,1.39,30,0,1,1,3,1,1,0.04,1,0,0,0,0,0,Matches,Juventus,Serie-A
1468,Khéphren Thuram,fr FRA,MF,24-060,24.8,53,2.13,44,0,2,4,2,1,10,0.4,9,0,0,1,0,0,Matches,Juventus,Serie-A
1469,Andrea Cambiaso,it ITA,"DF,FW",25-094,23.8,83,3.48,66,6,4,3,2,2,8,0.34,7,0,0,1,0,0,Matches,Juventus,Serie-A
1470,Teun Koopmeiners,nl NED,"MF,FW",27-086,22.2,63,2.84,39,17,2,2,2,1,3,0.14,2,1,0,0,0,0,Matches,Juventus,Serie-A
1471,Nicolás González,ar ARG,"FW,MF",27-049,18.6,45,2.43,31,2,3,4,4,1,4,0.22,3,0,0,1,0,0,Matches,Juventus,Serie-A
1472,Dušan Vlahović,rs SRB,FW,25-117,19.7,41,2.09,28,0,6,5,2,0,8,0.41,5,0,3,0,0,0,Matches,Juventus,Serie-A
1473,Nicolò Savona,it ITA,DF,22-067,18.2,29,1.6,27,1,1,0,0,0,2,0.11,2,0,0,0,0,0,Matches,Juventus,Serie-A
1474,Timothy Weah,us USA,"DF,FW",25-092,18.1,36,1.99,29,2,1,2,2,0,3,0.17,2,0,0,1,0,0,Matches,Juventus,Serie-A
1475,Randal Kolo Muani,fr FRA,FW,26-171,12.1,23,1.91,17,0,5,0,1,0,3,0.25,1,0,2,0,0,0,Matches,Juventus,Serie-A
1476,Renato Veiga,pt POR,DF,21-300,11.6,9,0.77,9,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches,Juventus,Serie-A
1477,Francisco Conceição,pt POR,"FW,MF",22-162,13.9,58,4.16,40,4,10,4,0,0,7,0.5,4,1,1,1,0,0,Matches,Juventus,Serie-A
1478,Lloyd Kelly,eng ENG,DF,26-231,10.3,10,0.98,8,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Juventus,Serie-A
1479,Samuel Mbangula,be BEL,FW,21-129,7.9,23,2.92,20,0,1,0,1,1,5,0.63,3,0,0,0,1,1,Matches,Juventus,Serie-A
1480,Danilo,br BRA,DF,33-314,6.5,10,1.55,10,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches,Juventus,Serie-A
1481,Gleison Bremer,br BRA,DF,28-068,6.0,3,0.5,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Juventus,Serie-A
1482,Juan David Cabal,co COL,DF,24-137,5.1,3,0.59,3,0,0,0,0,0,3,0.59,3,0,0,0,0,0,Matches,Juventus,Serie-A
1483,Nicolò Fagioli,it ITA,MF,24-102,6.3,10,1.57,8,0,0,2,0,0,1,0.16,1,0,0,0,0,0,Matches,Juventus,Serie-A
1484,Mattia Perin,it ITA,GK,32-196,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Juventus,Serie-A
1485,Douglas Luiz,br BRA,MF,27-016,5.9,28,4.75,18,7,0,3,0,0,1,0.17,0,1,0,0,0,0,Matches,Juventus,Serie-A
1486,Alberto costa,pt POR,DF,21-238,3.5,7,2.02,4,0,1,2,0,0,1,0.29,1,0,0,0,0,0,Matches,Juventus,Serie-A
1487,Jonas Rouhi,se SWE,DF,21-138,2.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Juventus,Serie-A
1488,Vasilije Adžić,me MNE,"MF,FW",19-013,0.5,2,4.29,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Juventus,Serie-A
1489,Diego Pugno,it ITA,FW,18-322,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Juventus,Serie-A
1490,Lorenzo Anghelè,it ITA,FW,20-088,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Juventus,Serie-A
1491,Mattéo Guendouzi,fr FRA,MF,25.0,35.3,110,3.11,99,3,2,4,1,1,7,0.2,7,0,0,0,0,0,Matches,Lazio,Serie-A
1492,Mattia Zaccagni,it ITA,FW,29.0,29.0,101,3.49,65,22,1,6,6,1,9,0.31,7,2,0,0,0,0,Matches,Lazio,Serie-A
1493,Mario Gila,es ESP,DF,23.0,29.5,35,1.19,32,1,0,1,0,1,1,0.03,1,0,0,0,0,0,Matches,Lazio,Serie-A
1494,Nicolò Rovella,it ITA,MF,22.0,29.4,68,2.31,55,5,2,0,3,3,3,0.1,3,0,0,0,0,0,Matches,Lazio,Serie-A
1495,Alessio Romagnoli,it ITA,DF,29.0,28.7,25,0.87,23,0,0,2,0,0,1,0.03,1,0,0,0,0,0,Matches,Lazio,Serie-A
1496,Ivan Provedel,it ITA,GK,30.0,29.0,13,0.45,10,2,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,Lazio,Serie-A
1497,Gustav Isaksen,dk DEN,FW,23.0,24.1,91,3.78,52,10,14,7,8,0,9,0.37,6,0,2,0,1,0,Matches,Lazio,Serie-A
1498,Valentín Castellanos,ar ARG,FW,25.0,25.5,71,2.79,36,1,5,22,5,2,14,0.55,7,0,1,3,2,1,Matches,Lazio,Serie-A
1499,Boulaye Dia,sn SEN,"MF,FW",27.0,23.2,53,2.28,39,0,4,7,2,1,8,0.34,7,0,0,1,0,0,Matches,Lazio,Serie-A
1500,Adam Marušić,me MNE,DF,31.0,25.5,32,1.26,24,2,0,5,0,1,3,0.12,1,0,0,2,0,0,Matches,Lazio,Serie-A
1501,Nuno Tavares,pt POR,DF,24.0,17.9,58,3.24,44,3,7,2,2,0,11,0.61,7,1,2,0,1,0,Matches,Lazio,Serie-A
1502,Manuel Lazzari,it ITA,DF,30.0,15.6,36,2.3,32,0,2,0,1,1,2,0.13,2,0,0,0,0,0,Matches,Lazio,Serie-A
1503,Fisayo Dele-Bashiru,ng NGA,"MF,FW",23.0,10.5,24,2.28,17,0,5,2,0,0,1,0.09,1,0,0,0,0,0,Matches,Lazio,Serie-A
1504,Luca Pellegrini,it ITA,DF,25.0,11.7,43,3.69,30,5,2,3,1,2,12,1.03,7,1,1,2,1,0,Matches,Lazio,Serie-A
1505,Tijjani Noslin,nl NED,"FW,MF",25.0,9.4,25,2.66,19,0,2,1,2,1,4,0.43,3,0,1,0,0,0,Matches,Lazio,Serie-A
1506,Christos Mandas,gr GRE,GK,22.0,8.0,2,0.25,2,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches,Lazio,Serie-A
1507,Matías Vecino,uy URU,MF,32.0,9.6,22,2.29,18,0,0,3,0,1,4,0.42,3,0,0,1,0,0,Matches,Lazio,Serie-A
1508,Samuel Gigot,fr FRA,DF,30.0,7.6,6,0.79,6,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches,Lazio,Serie-A
1509,Pedro,es ESP,"FW,MF",37.0,11.7,45,3.84,33,7,2,2,0,1,3,0.26,3,0,0,0,0,0,Matches,Lazio,Serie-A
1510,Loum Tchaouna,fr FRA,"FW,MF",20.0,7.3,25,3.4,20,1,0,2,0,2,6,0.82,5,0,0,1,0,0,Matches,Lazio,Serie-A
1511,Patric,es ESP,DF,31.0,6.7,11,1.63,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Lazio,Serie-A
1512,Elseid Hysaj,al ALB,DF,30.0,4.2,8,1.9,7,0,1,0,0,0,3,0.71,3,0,0,0,0,0,Matches,Lazio,Serie-A
1513,Nicolò Casale,it ITA,DF,26.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Lazio,Serie-A
1514,Reda Belahyane,ma MAR,MF,20.0,2.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Lazio,Serie-A
1515,Gaetano Castrovilli,it ITA,"MF,FW",27.0,1.6,3,1.84,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Lazio,Serie-A
1516,Oliver Nielsen,dk DEN,DF,21.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Lazio,Serie-A
1517,Arijon Ibrahimović,de GER,MF,18.0,0.1,1,11.25,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,Lazio,Serie-A
1518,Federico Baschirotto,it ITA,DF,27.0,37.0,17,0.46,13,2,0,2,0,0,1,0.03,0,0,0,1,0,0,Matches,Lecce,Serie-A
1519,Wladimiro Falcone,it ITA,GK,29.0,37.0,11,0.3,8,3,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,Lecce,Serie-A
1520,Nikola Krstović,me MNE,FW,24.0,33.0,85,2.58,56,1,8,12,5,3,6,0.18,5,0,0,1,0,0,Matches,Lecce,Serie-A
1521,Antonino Gallo,it ITA,DF,24.0,28.0,71,2.54,55,14,1,0,1,0,3,0.11,3,0,0,0,0,0,Matches,Lecce,Serie-A
1522,Frederic Guilbert,fr FRA,DF,29.0,26.1,44,1.69,31,10,1,0,0,2,2,0.08,2,0,0,0,0,0,Matches,Lecce,Serie-A
1523,Lassana Coulibaly,ml MLI,MF,28.0,28.6,43,1.5,33,0,1,1,5,3,2,0.07,1,0,0,0,1,0,Matches,Lecce,Serie-A
1524,Kialonda,ao ANG,DF,26.0,22.8,15,0.66,12,0,0,3,0,0,1,0.04,1,0,0,0,0,0,Matches,Lecce,Serie-A
