,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
1,Andriy Lunin,ua UKR,GK,26-082,5,5,450,5.0,7,1.4,18,11,61.1,4,0,1,2,40.0,0,0,0,0,,Matches,Real-Madrid,La-Liga
2,Fran,es ESP,GK,19-314,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,Real-Madrid,La-Liga
0,Álex Remiro,es ESP,GK,30-042,32,32,2880,32.0,36,1.13,115,78,73.0,12,6,14,12,37.5,6,5,1,0,16.7,Matches,Real-Sociedad,La-Liga
1,Unai Marrero,es ESP,GK,23-208,1,1,90,1.0,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,Real-Sociedad,La-Liga
0,Ørjan Nyland,no NOR,GK,34-237,26,26,2313,25.7,32,1.25,96,64,69.8,7,9,10,6,23.1,4,3,1,0,25.0,Matches,Sevilla,La-Liga
1,Álvaro Fernández,es ESP,GK,27-022,8,7,657,7.3,12,1.64,29,17,65.5,2,1,4,3,42.9,2,2,0,0,0.0,Matches,Sevilla,La-Liga
0,Giorgi Mamardashvili,ge GEO,GK,24-218,30,30,2700,30.0,45,1.5,120,76,65.8,10,10,10,7,23.3,6,4,2,0,33.3,Matches,Valencia,La-Liga
1,Stole Dimitrievski,mk MKD,GK,31-131,4,4,360,4.0,6,1.5,12,6,58.3,0,2,2,0,0.0,2,1,0,1,0.0,Matches,Valencia,La-Liga
0,Karl Jakob Hein,ee EST,GK,23-022,28,28,2520,28.0,63,2.25,148,86,59.5,4,4,20,5,17.9,3,3,0,0,0.0,Matches,Valladolid,La-Liga
1,André Ferreira,pt POR,GK,28-341,5,5,450,5.0,18,3.6,35,17,57.1,0,0,5,0,0.0,3,3,0,0,0.0,Matches,Valladolid,La-Liga
