,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
20,Danny Ward,wls WAL,GK,31-317,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,Matches,Leicester-City,Premier-League
21,Alisson,br BRA,GK,32-216,25,25,2238,24.9,23,0.92,77,56,71.4,18,5,2,9,36.0,1,1,0,0,0.0,Matches,Liverpool,Premier-League
22,Caoimhín Kelleher,ie IRL,GK,26-164,10,10,900,10.0,12,1.2,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0,Matches,Liverpool,Premier-League
23,Vitezslav Jaros,cz CZE,GK,23-287,1,0,12,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches,Liverpool,Premier-League
24,Ederson,br BRA,GK,31-261,23,23,2050,22.8,25,1.1,73,49,68.5,14,3,6,8,34.8,2,2,0,0,0.0,Matches,Manchester-City,Premier-League
25,Stefan Ortega,de GER,GK,32-180,13,12,1100,12.2,18,1.47,50,33,68.0,5,4,3,3,25.0,2,2,0,0,0.0,Matches,Manchester-City,Premier-League
26,André Onana,cm CMR,GK,29-033,33,33,2970,33.0,43,1.3,129,86,69.0,10,9,14,9,27.3,4,3,1,0,25.0,Matches,Manchester-United,Premier-League
27,Altay Bayındır,tr TUR,GK,27-021,2,2,180,2.0,8,4.0,12,5,33.3,0,0,2,0,0.0,0,0,0,0,,Matches,Manchester-United,Premier-League
28,Nick Pope,eng ENG,GK,33-016,25,25,2250,25.0,33,1.32,107,75,70.1,12,6,7,7,28.0,2,1,1,0,50.0,Matches,Newcastle-United,Premier-League
29,Martin Dúbravka,sk SVK,GK,36-110,10,10,900,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,,Matches,Newcastle-United,Premier-League
30,Matz Sels,be BEL,GK,33-068,34,34,3060,34.0,41,1.21,149,108,73.8,18,6,10,13,38.2,2,2,0,0,0.0,Matches,Nottingham-Forest,Premier-League
31,Aaron Ramsdale,eng ENG,GK,26-357,27,27,2430,27.0,62,2.3,173,109,67.1,2,4,21,2,7.4,7,5,2,0,28.6,Matches,Southampton,Premier-League
32,Alex McCarthy,eng ENG,GK,35-154,5,5,450,5.0,13,2.6,37,24,70.3,0,0,5,0,0.0,2,2,0,0,0.0,Matches,Southampton,Premier-League
33,Joe Lumley,eng ENG,GK,30-080,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,,Matches,Southampton,Premier-League
34,Guglielmo Vicario,it ITA,GK,28-210,23,23,2070,23.0,33,1.43,94,63,64.9,9,3,11,4,17.4,0,0,0,0,,Matches,Tottenham-Hotspur,Premier-League
35,Fraser Forster,eng ENG,GK,37-049,7,7,630,7.0,15,2.14,42,27,69.0,1,2,4,1,14.3,2,2,0,0,0.0,Matches,Tottenham-Hotspur,Premier-League
36,Antonín Kinský,cz CZE,GK,22-053,4,4,360,4.0,7,1.75,16,11,56.3,1,0,3,1,25.0,0,0,0,0,,Matches,Tottenham-Hotspur,Premier-League
37,Brandon Austin,eng ENG,GK,26-117,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,Tottenham-Hotspur,Premier-League
38,Alphonse Areola,fr FRA,GK,32-067,24,23,2080,23.1,39,1.69,105,69,62.9,4,7,12,4,17.4,0,0,0,0,,Matches,West-Ham-United,Premier-League
39,Łukasz Fabiański,pl POL,GK,40-017,13,12,1070,11.9,20,1.68,67,47,74.6,5,3,4,2,16.7,3,3,0,0,0.0,Matches,West-Ham-United,Premier-League
40,José Sá,pt POR,GK,32-108,27,27,2430,27.0,45,1.67,108,63,62.0,11,4,12,7,25.9,6,4,2,0,33.3,Matches,Wolverhampton-Wanderers,Premier-League
41,Sam Johnstone,eng ENG,GK,32-041,7,7,630,7.0,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0,Matches,Wolverhampton-Wanderers,Premier-League
42,Daniel Bentley,eng ENG,GK,31-296,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,Wolverhampton-Wanderers,Premier-League
43,Antonio Sivera,es ESP,GK,28-267,28,28,2450,27.2,37,1.36,100,64,72.0,7,9,12,6,21.4,9,9,0,0,0.0,Matches,Alaves,La-Liga
44,Jesús Owono,gq EQG,GK,24-065,6,5,487,5.4,7,1.29,14,7,57.1,1,1,3,0,0.0,1,1,0,0,0.0,Matches,Alaves,La-Liga
45,Adrian Rodriguez,es ESP,GK,24-144,2,1,122,1.4,2,1.48,6,4,83.3,0,1,0,1,100.0,1,1,0,0,0.0,Matches,Alaves,La-Liga
